compound,negative,neutral,positive,text
0.1027,0.087,0.813,0.099,"Image source: The Motley Fool.
Ashford Hospitality Trust Inc (NYSE:AHT)Q3 2019 Earnings CallOct 30, 2019, 11:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Greetin… [+52705 chars]"
0.765,0.0,0.852,0.148,"Q3 2019 Ashford Hospitality Trust Inc Earnings Call
DALLAS Oct 31, 2019 (Thomson StreetEvents) -- Edited Transcript of Ashford Hospitality Trust Inc earnings conference call or presentation Wednesday, October 30, 2019 at 3:00:00pm GMT
TEXT version of Transc… [+62595 chars]"
0.7096,0.058,0.751,0.191,"Ashford Hospitality Trust (AHT) came out with quarterly funds from operations (FFO) of $0.28 per share, beating the Zacks Consensus Estimate of $0.27 per share. This compares to FFO of $0.30 per share a year ago. These figures are adjusted for non-recurring i… [+3231 chars]"
0.8519,0.0,0.78,0.22,"We are still in an overall bull market and many stocks that smart money investors were piling into surged through October 17th. Among them, Facebook and Microsoft ranked among the top 3 picks and these stocks gained 45% and 39% respectively. Hedge funds' top … [+5928 chars]"
0.7269,0.0,0.878,0.122,"Ashford Hospitality Trust, Inc. (NYSE:AHT), which is in the reits business, and is based in United States, led the NYSE gainers with a relatively large price hike in the past couple of weeks. As a stock with high coverage by analysts, you could assume any rec… [+3535 chars]"
0.4588,0.0,0.927,0.073,"PHOTO:
shutterstock 
Traditionally, customer engagement wasn’t about “engaging” with customers at all. Instead, it was about deflecting and containing them, with contact center agents trained to spend as little time as possible with customers in the queue. … [+5511 chars]"
0.0,0.0,1.0,0.0,"2019/11/07 21:43]Ox_2019~117q^qH (3682) 5GAy5GAAPqHTrue Corporation]~ATrueDigital ParkñpX@AXxe¤A5GsoiAisnVC
qHnoi5NqT]5G^Ah~_PgX@uqH5G|[tvpeAXFB~BsPX@A@P5GsAoiC
2pe~4ui}AeAPjqHTrue Corporation]~ATrue Digital ParkA@PñX@AoqT~uAXxe¤Ay5GAC
qHPB|5G[t2xpe|Aauqsq… [+444 chars]"
0.3818,0.0,0.939,0.061,"The Glatfelter Agency (TGA), a division of Glatfelter Insurance Group, has hired Sean Gormley as the new president of its downtown York, Penn., office. Gormley will focus on developing further growth in personal, business and commercial lines and managing car… [+677 chars]"
0.4215,0.041,0.84,0.119,"The first time Mandy Gull visited Canada's Broadback Forest, she was struck by the displays of delicate lichen. By the dense, ancient trees. By the moss-covered floor, which rose and fell like a rumpled green blanket.
""There's an energy in that kind of fores… [+10340 chars]"
-0.8362,0.207,0.793,0.0,"The short thesis
Safehold (SAFE) has a cost structure problem. Its overhead is not being sufficiently overcome by revenues due to a low ROIC combined with fairly egregious management compensation. This problem will not get better with size due to scaling man… [+15951 chars]"
0.0,0.0,1.0,0.0,"In the present study, we evidence that DOCA-salt-induced AHT gives rise to profound CV remodelling in Abcc6/ mice which was associated with (i) calcium deposits in the heart characteristic of DCC; (ii) myocardial fibrosis; (iii) extensive vascular fibrosis an… [+12467 chars]"
0.8514,0.044,0.721,0.235,"Welcome to the BarkPost guide to dog breeds where we belly flop straight into the depths of dog breed origin, evolution, and purpose. Follow along each week as we publish new guides that highlight the strangest, most interesting, and most surprising stuff abo… [+8697 chars]"
0.5106,0.0,0.916,0.084,"Ashford Hospitality Trust Inc (NYSE:AHT) Q3 2019 Results Earnings Conference Call October 30, 2019 11:00 AM ET
Company Participants 
Jordan Jennings - Manager of Investor Relations
Douglas Kessler - President and Chief Executive Officer
Deric Eubanks - Ch… [+50242 chars]"
0.0,0.0,1.0,0.0,"Photo: Shutterstock
The traditional contact center with agents in cubicles following scripts and rushing to meet individual KPIs will soon be a thing of the past. Modern customer-centric operations are increasingly defined by a collaborative contact center c… [+6062 chars]"
0.8481,0.0,0.777,0.223,"SAN ANTONIO--(BUSINESS WIRE)--Calabrio, the customer experience intelligence company, announced the winners of the third annual ONE Awards and first-ever analytics competition during its annual customer conference, Calabrio Customer Connect (C3).
The ONE Awa… [+9050 chars]"
0.765,0.0,0.845,0.155,"DALLAS, Oct. 29, 2019 /PRNewswire/ -- Ashford Hospitality Trust, Inc. (NYSE: AHT) (""Ashford Trust"" or the ""Company"") today reported financial results and performance measures for the third quarter ended September 30, 2019. The comparable performance measureme… [+289252 chars]"
0.8316,0.0,0.812,0.188,"DALLAS, Oct. 21, 2019 /PRNewswire/ -- Ashford Hospitality Trust, Inc. (NYSE: AHT) (""Ashford Trust"" or the ""Company"") announced today that its Board of Directors has formally declared the distribution of its remaining 205,086 shares of common stock of Ashford … [+7402 chars]"
0.4215,0.04,0.843,0.116,"The first time Mandy Gull visited Canadas Broadback Forest, she was struck by the displays of delicate lichen. By the dense, ancient trees. By the moss-covered floor, which rose and fell like a rumpled green blanket.
Theres an energy in that kind of forest t… [+9762 chars]"
