compound,negative,neutral,positive,text
-0.4404,0.13,0.781,0.089,"Mr. Eppolito, 71, died on Nov. 3 at a hospital in Tucson, Ariz., his wife, Frances Ann Eppolito, confirmed this week, without providing a cause. He had been serving a life sentence at the high-security United States penitentiary nearby. 
After their arrest, … [+753 chars]"
-0.8519,0.193,0.807,0.0,"Over time, it appears, the word took on a negative connotation for some officers. A bitter and burned-out complainer is the way Edward Conlon, the author and former detective, defined it in a 1998 New Yorker article, written under a pseudonym.
In a recent me… [+960 chars]"
0.7964,0.0,0.835,0.165,"Also neck and neck this weekend: The Addams Family, an animated family movie distributed in the United States by United Artists Releasing, is estimated to make around $11.7 million in domestic sales; and Zombieland 2: Double Tap, a comedy from Sony Pictures t… [+1239 chars]"
-0.7713,0.143,0.822,0.034,"CHICAGO (AP) Chicago Police Superintendent Eddie Johnson will announce on Thursday that he will retire after more than three years as the city's top cop, a post he took over during one of the most violent chapters in the city's history and amid public outcry … [+5329 chars]"
0.5423,0.043,0.835,0.122,"A jury awarded nearly $20 million to Sgt. Keith Wildhaber in a discrimination lawsuit against the St. Louis County Police Department.
Jeff Roberson/AP
A jury awarded nearly $20 million Friday to a police sergeant who said the St. Louis County Police Departm… [+4374 chars]"
0.5574,0.0,0.907,0.093,"Chicago police Superintendent Eddie Johnson is expected to announce Thursday that he is retiring after nearly four years as the city’s top cop and more than three decades with the police force.
“A true son of Chicago who grew up in public housing &amp; went … [+4867 chars]"
-0.5574,0.076,0.924,0.0,"An Orlando county Sheriff's deputy was fired on the spot after video showed him grabbing a teen girl by her hair and yanking her head backwards. 
The video shows the deputy, who the agency has not publicly identified, taking a girl into custody Thursday afte… [+2667 chars]"
-0.8176,0.239,0.64,0.122,"The Craftreboot is out there, and now its got David Duchovny. Another DC hero has joined the cavalcade that is Crisis on Infinite Earths. Korg lives, and hell be in Thor: Love and Thunder. Plus, a bomb threat on Riverdale, Edward Norton wouldnt mind coming ba… [+4987 chars]"
-0.7717,0.14,0.86,0.0,"A black woman was shot dead by a white police officer early Saturday in her own home. The officer, responding to a call from a neighbor concerned about an open door, opened fire only four seconds after seeing Atatiana Jefferson, 28 through a window. He approa… [+3252 chars]"
0.2023,0.0,0.913,0.087,"Get top stories and blog posts emailed to me each day. Newsletters may offer personalized content or advertisements.
 Privacy Policy"
-0.7003,0.136,0.864,0.0,"Cop in California legit tried to arrest a black man bc he was illegally eating.
My mind cant even begin to comprehend the arrogance needed to justify this nonsensepic.twitter.com/cwlobWkRo2
— Qasim Rashid, Esq. (@QasimRashid) November 10, 2019
""You're eati… [+2776 chars]"
0.8028,0.0,0.817,0.183,"Want the best of VICE News straight to your inbox? Sign up here.
When rural South Carolina sheriffs deputies pulled over a black college football player this past August for speeding, they didnt hesitate to search his vehicle or test the white substance they… [+2935 chars]"
0.2746,0.11,0.738,0.152,"MANILA - The Philippine National Police is winning the war on drugs, according to the PNP's new OIC, despite a massive scandal on police officers reselling seized narcotics that has affected the Philippines' top cop.
P/Lt. Gen. Archie Gamboa said the ""ninja … [+2261 chars]"
-0.34,0.113,0.844,0.043,"The city of San Antonio agreed to pay a woman $205,000 to settle a lawsuit alleging that a police detective pulled down her shorts in public and conducted a drug search in her vagina in front of other male officers. The detective accused of conducting the ill… [+2625 chars]"
0.5473,0.0,0.896,0.104,"FORT WORTH (CBSDFW.COM) — Senseless — That’s how Atatiana Jefferson‘s father describes her death.One day after a Fort Worth police officer shot Jefferson inside her residence, flowers and candles sit outside the home on E. Allen Avenue.
Her family is still p… [+2746 chars]"
-0.1779,0.091,0.811,0.097,"A white police officer shot and killed a black Fort Worth woman in a home while responding to a request for a wellness check Saturday, police said.
Body camera footage shows the officer surveying the area around the house after seeing an open front door. The… [+5610 chars]"
-0.6361,0.138,0.802,0.06,"With Pennsylvania and Missouri this year joining 21 other US states to completely ban tobacco in their prisons, inmates are resorting to a new way of getting their baccy hit. And its pretty rancid. 
Where Im at, you rarely see real tobacco anymore, Robert Ro… [+8541 chars]"
