compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
-0.25,0.074,0.872,0.053,"For a while, Rick and Morty seemed like the kind of show that was almost too enamored of its horrible protagonist. Rick's narcissistic assholery was the show's calling card, and the idea of a self-destructive genius whose ultimate assessment of the universe i… [+3321 chars]"
0.5859,0.0,0.906,0.094,"What can we do to live longer, healthier lives? Bulletproof Coffee founder Dave Asprey joins us on The Upgrade to talk about the practices hes adopted that he believes will help us all lengthen our lifespans. Hear him talk about the surprising ways we can fen… [+3130 chars]"
0.4404,0.0,0.932,0.068,"(Reuters) - British Prime Minister Boris Johnson will go to Brussels early Thursday in a move to have some useful meetings for a Brexit deal, Beth Rigby, Sky News political editor, said in a tweet on Wednesday. 
Citing a senior ministerial source, Rigby adde… [+340 chars]"
0.7177,0.08,0.728,0.192,"Overbooked flights are back, baby! In spring 2017, after a man was physically dragged off an overbooked United flight and the United CEO blamed the man, airlines dramatically improved at only selling the number of seats they actually have on the plane. By mid… [+1998 chars]"
0.7645,0.0,0.856,0.144,"Ive always thought of rivers as alive, as live phenomena, she said by phone from her current home, in Westchester County, N.Y. It became very clear to me that rivers create their sound by the way they interact with the materials in their banks through frictio… [+1280 chars]"
0.2023,0.045,0.871,0.085,"MEXICO CITY (Reuters) - Bolivia’s former President Evo Morales has boarded a plane to Mexico, where he has been granted asylum, Mexico’s top diplomat said on Monday night, after the South American country’s veteran socialist leader resigned in the wake of a d… [+75 chars]"
0.0,0.0,1.0,0.0,"If the fires have not disrupted residents work routines, they have at least added another level of planning. With the forecast ripe for fires this week, Beth Beal and her husband, Larry, had packed a bag with baby pictures, blankets, birth certificates, their… [+1329 chars]"
0.5719,0.113,0.724,0.163,"Theres no better adrenaline rush than the kind that happens after you cancel plans last-minute. What once felt like a weight on your shoulders, bearing down on you with every passing hour, has disappeared. Suddenly, your time is yours again. We get ityou made… [+3115 chars]"
0.8519,0.0,0.778,0.222,"Ellen DeGeneres had a classy response to backlash after fans spotted her with former President George W. Bush at a football game.
 USA TODAY
Monday's ""Ellen DeGeneres Show"" includes a surprise wedding and a ""Bachelor"" party of sorts. 
The comedian hosted H… [+2773 chars]"
0.6808,0.0,0.872,0.128,"(Reuters) - Costa Rica’s government said on Wednesday it defers to Chile, the United Nations Framework Convention on Climate Change and member states on how to proceed with the United Nations global climate change summit, COP25. 
Chile’s President Sebastian … [+486 chars]"
-0.2023,0.173,0.693,0.134,"House Speaker Nancy Pelosi is violating House rules, says Tea Party Patriots co-founder Jenny Beth Martin."
-0.1466,0.095,0.845,0.059,"Roku is a company that has proven nearly every bearish prediction wrong with consistent revenue growth despite being surrounded by steep competition and tech heavyweights in over-the-top media. 
Will Roku
ROKU, -0.67%
beat earnings? It doesnt matter long t… [+7980 chars]"
-0.0258,0.058,0.887,0.055,"MEXICO CITY (Reuters) - Bolivia’s former president, Evo Morales, was flying to Mexico on Tuesday after fleeing his South American homeland, seeking refuge under a leftist government that has supported the veteran socialist in the wake of a disputed election. … [+1564 chars]"
0.4215,0.0,0.933,0.067,"TAPACHULA, Mexico (Reuters) - Several hundred migrants from Africa, the Caribbean and Central America set off from southern Mexico on Saturday in a caravan headed to the United States, according to a Reuters witness and local media. 
The migrants assembled a… [+1614 chars]"
0.0,0.0,1.0,0.0,"A new documentary called Made in Boise airs on PBS tonight (October 28) at 10 p.m. Eastern. The film, directed by Beth Aala, follows four surrogates in Boise, Idaho, and it addresses the stigmas and misconceptions surrounding surrogacy. It also includes a new… [+1393 chars]"
0.2023,0.051,0.865,0.085,"Does your companys vision feel outdated, dull or out-of-touch from where your company is at nowor where youd like to see it go in the future? Then it might be time for a strategic refresh.&amp;nbsp;But even if you know an update is far past due, where do you … [+21004 chars]"
-0.296,0.046,0.954,0.0,"Savages leader Jehnny Beth has a new song out today, “I’m The Man,” which appears on the soundtrack for the British television show Peaky Blinders. The track was featured on an episode of the show that aired back in September, but it hasn’t been available unt… [+1334 chars]"
-0.7845,0.141,0.859,0.0,"The first ever Peaky Blinders soundtrack has been announced. The BBC One shows soundtrack features music from Radiohead, David Bowie, Arctic Monkeys, Savages Jenny Beth, Anna Calvi, Richard Hawley, and more. It also, of course, has Nick Cave &amp; The Bad See… [+189 chars]"
