compound,negative,neutral,positive,text
0.5719,0.05,0.829,0.121,"If youre a Facebook user, then youre likely pretty familiar with Facebooks Timeline, where you can see status updates from all your friends.
Youve also probably been annoyed more than once by the fact that you had to scroll through a bunch of posts from peop… [+1090 chars]"
0.3818,0.0,0.943,0.057,"That status, as David Ehrenberg, the president and chief executive of the Navy Yard pointed out, is rare for retail operations that all too frequently offer poorly paying jobs with few opportunities for advancement. 
This is why, nearly a decade ago, when su… [+944 chars]"
0.0,0.0,1.0,0.0,"Interview with tech policy expert Gigi Sohn
Illustration by Alex Castro / The Verge
This week for our interview series on The Vergecast, host and Verge editor-in-chief Nilay Patel talks to Gigi Sohn, a distinguished fellow at Georgetown Laws Institute for T… [+10815 chars]"
-0.0549,0.114,0.795,0.091,"The FDA recently granted modified risk status to one brand of snus, a tobacco product thats popular in Sweden and starting to become a thing in the US. But while it might be less risky than other tobacco products, its still not exactly safe.
Snus (rhymes wit… [+1630 chars]"
0.5256,0.0,0.922,0.078,"Image copyrightAlamy
Ahead of the launch of his most ambitious series yet, broadcaster Sir David Attenborough talks to the BBC about his cult status, a lifetime protecting the planet and finally finding its most elusive animal.
This year's Glastonbury Festi… [+7622 chars]"
0.4939,0.0,0.932,0.068,"With her status came a newfound courage to openly discuss her past. In late 2016, Little Sisters connected her with New York magazine, which featured her in an article about immigrant New Yorkers living in a sanctuary city. That was the first time I spoke to … [+1707 chars]"
0.6124,0.08,0.765,0.155,"In soccer, the worlds best womens player, Ada Hegerberg of Norway, skipped last summers Womens World Cup in part to protest what she said was her federations lack of support for the womens program. And just this week, Australias mens and womens teams reached … [+1436 chars]"
-0.4391,0.147,0.744,0.109,"Theres an almost amused distance in some of these accounts, which vanishes as others speak of the unspeakable legacies of oppression and destruction borne by black and Jewish Americans. There arises, alarmingly and inevitably, what is effectively a debate as … [+1357 chars]"
0.6908,0.0,0.881,0.119,"ZenHub, the popular project management tool that integrates right into GitHub, today announced the launch of Roadmaps. As you can guess from the name, this is a roadmapping feature that allows teams to better plan their projects ahead of time and visualize th… [+1885 chars]"
-0.2893,0.14,0.743,0.117,"But Mr. Sanders more forcefully scolded the candidates onstage who opposed single-payer care and whom he described as defending a system which is dysfunctional, which is cruel. 
The Democratic field appeared far more eager to attack Ms. Warren for her health… [+1696 chars]"
0.9081,0.0,0.749,0.251,"If youve ever scrambled to save your airline miles before they expire, you know the heartache of seeing those hard-earned rewards drift away. In the interest of standing out among competitors, Southwest Airlines announced today that effective immediately, Rap… [+1696 chars]"
0.6597,0.0,0.878,0.122,"DeepMind, the Google-owned AI lab, announced its AlphaStar AI passed a new milestone last week, achieving grandmaster status in the real-time strategy game and popular esport StarCraft II, per the MIT Technology Review. The machine is now considered capable o… [+3103 chars]"
0.34,0.0,0.938,0.062,"Acting U.S. Homeland Security Secretary Kevin McAleenan (left) and Salvadoran President Nayib Bukele attend a meeting in San Salvador, El Salvador, in August.
Salvador Melendez/AP
The Trump administration is extending protections from deportation to more th… [+2615 chars]"
0.0,0.0,1.0,0.0,"PHILIPPINE National Police (PNP) officer-in-charge Lieutenant General Archie Gamboa clarified on Monday, October 21, that all key positions in the national police agency covered by the major revamp will be under probationary period for three months.
All lead… [+4309 chars]"
-0.6786,0.132,0.84,0.028,"HONG KONG (Reuters) - Hong Kong leader Carrie Lam said on Wednesday the city’s status as a financial hub has not been shaken despite more than four months of sometimes violent anti-government protests. 
Beijing-backed Lam was speaking after announcing measur… [+281 chars]"
0.2732,0.0,0.926,0.074,"BEIJING (Reuters) - China will not tolerate anything that challenges the bottom line of the “one country, two systems” formula that governs Hong Kong, a senior China parliamentary official said on Friday. 
Hong Kong was an important part of discussions at a … [+834 chars]"
0.0,0.0,1.0,0.0,"At first glance, the two devices have quite a few similarities, but the iPhone 11 takes a step forward in regards to cameras, battery life, and more."
-0.128,0.086,0.859,0.055,"NEW DELHI (Reuters) - Indian Prime Minister Narendra Modi on Sunday said it would take four months for Jammu and Kashmir to return to normal after his government stripped the state of its special status in August and imposed harsh restrictions. 
At a rally i… [+1968 chars]"
0.5859,0.0,0.895,0.105,"The Apple Music student subscription, which grants users access to Apples premium music streaming service at a fraction of normal monthly price, is about to get even better.
According to a social media post by actress Hailee Steinfeld, who stars in the Apple… [+1193 chars]"
0.5994,0.0,0.893,0.107,"Participation in the program comes with a range of benefits. Along with permission to remain in the country, recipients can also get work permits, through which many have obtained health insurance from their employers.
The ability to work has also allowed th… [+1081 chars]"
