compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Though the timing of Apple's announcement seemed comically coincidental, Erlicht and Van Amburg had been talking to Apple for some time. In its quest to develop content that could hold up to fare from Netflix and Hulu, the company had been discussing possible… [+3905 chars]"
0.5256,0.049,0.833,0.118,"Mr. Bloomberg, he said, was a different case because of his wealth and broader, more prominent political portfolio since he left office on issues including public health, gun control and the environment. 
He has been in the forefront of issues of national in… [+1261 chars]"
-0.6124,0.119,0.881,0.0,"Image copyrightCourtesy: Nariman QureshiImage caption
 Nariman Qureshi's daughter Anya is one of the victims of Lahore's pollution problem
When Nariman Qureshi returned to her home in Lahore after a week-long work trip in early November, she discovered her … [+6278 chars]"
-0.2263,0.091,0.837,0.072,"In the crowded Democratic field, Ms. Gabbard has developed a small but devoted political following. She failed to qualify for the partys September debate, but then met a 2 percent polling threshold for the Oct. 15 debate, where she assailed the news media for… [+761 chars]"
-0.7717,0.19,0.782,0.027,"A number of police units in Bolivias main city La Paz mutinied and joined anti-government protests on Saturday, presenting a serious new threat to attempts by President Evo Morales to hold on to power after last months disputed elections.
Local media reporte… [+661 chars]"
0.4019,0.0,0.94,0.06,"NEW ORLEANS Former Gov. Deval Patrick of Massachusetts told senior Democrats Wednesday that he will enter the presidential race, according to two party officials, reversing his decision last year to forgo a run and adding yet more volatility to an unusually f… [+1940 chars]"
-0.6369,0.143,0.807,0.049,"Image copyrightAFPImage caption
 Protesters gathered at the Lyon university attended by the student
Students have marched through cities across France to show solidarity with a student who attempted suicide on Friday. 
The 22-year-old man set himself on fi… [+1811 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
-0.2263,0.091,0.837,0.072,"In the crowded Democratic field, Ms. Gabbard has developed a small but devoted political following. She failed to qualify for the partys September debate, but then met a 2 percent polling threshold for the Oct. 15 debate, where she assailed the news media for… [+761 chars]"
0.2732,0.0,0.942,0.058,"Image copyrightAFPImage caption
 Michael Bloomberg has highlighted climate change as a key issue
Billionaire businessman Michael Bloomberg is strongly considering entering the race for the US Democratic Party's presidential nomination.
The ex-New York City… [+2109 chars]"
0.0,0.0,1.0,0.0,"Washington (CNN)Hawaii Rep. Tulsi Gabbard announced she won't run for reelection to Congress in 2020, focusing her efforts on continuing her bid for the Democratic presidential nomination. 
""I will not be seeking re-election to Congress in 2020, and I humbly… [+1611 chars]"
-0.1531,0.046,0.922,0.032,"Washington (CNN)Louisiana Governor John Bel Edwards has been forced into a runoff election in his bid for reelection, where he will face Republican businessman Eddie Rispone, CNN projected Saturday. 
Edwards was the top vote getter but will fall short of the… [+1441 chars]"
0.0,0.0,1.0,0.0,"(CNN) Over the past few years, numerous towns in Italy have resorted to selling homes for just over a dollar in a bid to revitalize their dwindling communities.
Zungoli near Naples and Sicily's Sambuca were the most recent Italian destinations to get in on t… [+8922 chars]"
0.7269,0.044,0.816,0.14,"Washington (CNN)The cyclist who flipped off President Donald Trump's motorcade in 2017, and lost her job because of it, has won her bid for local office in Virginia. 
CNN projected that Juli Briskman on Tuesday night won her race to become supervisor for the… [+1523 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
0.0,0.074,0.853,0.074,"SoftBank Group, the multi-billion dollar Japanese technology conglomerate and investment firm, has put together a  bid that would save WeWork parent company We Co., just weeks before the co-working real estate company’s imminent collapse, The Wall Street Jour… [+1950 chars]"
0.0,0.0,1.0,0.0,"(CNN)New York Rep. Alexandria Ocasio-Cortez, one of the most sought after progressive endorsements, will back Vermont Sen. Bernie Sanders in his 2020 Democratic bid for president, several sources tell CNN. 
A source tells CNN that Democratic Reps. Ilhan Omar… [+245 chars]"
-0.1779,0.038,0.962,0.0,"Washington (CNN)Former Secretary of State Hillary Clinton on Tuesday said ""many, many, many people"" were pressuring her to consider a 2020 presidential bid, but held that it is ""absolutely not in my plans.""
""I, as I say, never, never, never say never and I w… [+2107 chars]"
-0.3182,0.056,0.944,0.0,"Former Gov. Deval Patrick of Massachusetts has told Democratic officials that he is considering making a last-minute entry into the 2020 presidential race, according to two Democrats with knowledge of the conversations, the latest evidence of how unsettled th… [+584 chars]"
