compound,negative,neutral,positive,text
0.7184,0.048,0.783,0.169,The United States Consumer Product Safety Commission and Vista Outdoor have issued a recall notice for the companys Blackhawk T-Series L2C gun holsters after the design was found to potentially change the position of the safety switch on the firearm without t… [+1191 chars]
0.3818,0.0,0.913,0.087,"Source: Windows Central
If you're reading this article while sitting in front of a PC, there's a solid chance it's using Bluetooth in one way or another. Bluetooth, the short-range wireless technology that offers low-cost communication between PCs, phones, a… [+6736 chars]"
0.2023,0.04,0.906,0.055,"That brings us nicely to June 2010. This is when the SIG formally adopted Bluetooth 4.0, and in October 2011, the iPhone 4S debuted as the first phone to use the new wireless protocol.
With Bluetooth 4.0, the big focus here was on its new Bluetooth Low Energ… [+2382 chars]"
0.7889,0.0,0.823,0.177,"There's a very good chance you're reading this story on a device that supports some version of Bluetooth wireless technology.
And you're very likely aware of what Bluetooth is. But just in case, here's a quick definition: Bluetooth is a short-range wireless … [+1812 chars]"
-0.6124,0.106,0.894,0.0,"PROVIDENCE, R.I. (AP) A Vermont man at the center of an inheritance dispute contributed to the 2016 sinking of the boat from which his mother was lost at sea, a federal judge ruled Monday.
U.S. District Judge John McConnell issued a written decision in favor… [+2616 chars]"
-0.6597,0.109,0.891,0.0,"Having wrapped up their work on the PCI-Express 5.0 specification earlier this year, the PCI-SIG wasted no time in getting to work on the next version of the specification, PCIe 6.0. That specification, which is expected to be finished in 2021, will once agai… [+1133 chars]"
0.8271,0.0,0.838,0.162,"I am surprised that the German Firearms legislation forces the flashlight to be a dummy.I have never tried the 552 Sport but shot a bit with the 552 Commando. Which trigger we like is individual, but that trigger is far from sweet as it is more of a duty trig… [+1072 chars]"
0.0,0.0,1.0,0.0,"NEW YORK Gerrit Cole walked into a conference room after one of his first spring training workouts with the Houston Astros in February 2018 and was met by about 10 people.
""There was charts, video, matching charts,"" Cole recalled. ""It was all new then, but i… [+5128 chars]"
0.6124,0.0,0.9,0.1,"The SIG Sauer MPX Copperhead is now available with some new features, like an A2 flash-hider which is suppressor ready, all black color (in lieu of the Cerakote E190) and a 30 round magazine.
You can check one of TFB’s previous articles on the MPX Copperhead… [+2041 chars]"
-0.4019,0.103,0.844,0.053,"The U.S. Army is gearing up to select a new rifle to be carried by most front-line units into battle, moving on from its mainstay M4 carbine after more than 25 years of service. The Next Generation Squad Weapons (NGSW) contract would be a nice payday for the … [+5574 chars]"
0.6808,0.0,0.894,0.106,The True Precision has announced their line of threaded and non-threaded barrels for the SIG P365 XL pistol.  To say that the SIG P365 and the P365 XL have been gaining traction would be an understatement.  Both SIG models have been featured here on TFB and a… [+3963 chars]
0.906,0.09,0.619,0.291,"Check out this review of the SIG Sierra 3 BDX Optic. Scope, rangefinder, and app all work together to provide you with a fast and efficient firing solution. Making ethical and fun hits on game and targets a lot easier!
««« GUN AND GEAR GIVEAWAYS »»»
PLEASE … [+1114 chars]"
0.0,0.0,1.0,0.0,"SIG Sauer’s ROMEO1 pistol red dot reflex sight has been around for a few years now, but this week SIG announced it would be joined by the new ROMEO1PRO claiming a new level of reliability and durability. Available in black and FDE with SIG claim the new red d… [+2385 chars]"
0.5256,0.027,0.896,0.077,We are knee-deep into the fall season and SIG Sauer has just released its latest addition to the Elite Match series of ammunition. Long-range shooting is serious business and it can be incredibly rewarding – unless your ammo isn’t reliable. If you’re a 6mm Cr… [+2349 chars]
0.5267,0.0,0.927,0.073,"Here at Zacks, we focus on our proven ranking system, which places an emphasis on earnings estimates and estimate revisions, to find winning stocks. But we also understand that investors develop their own strategies, so we are constantly looking at the latest… [+2116 chars]"
0.8074,0.0,0.835,0.165,"While the proven Zacks Rank places an emphasis on earnings estimates and estimate revisions to find strong stocks, we also know that investors tend to develop their own individual strategies. With this in mind, we are always looking at value, growth, and mome… [+2647 chars]"
0.1531,0.061,0.867,0.072,"So as the winter months are closing in and the lazier amongst us might not get to the range quite as often. If you’re looking for a new home plinker then SIG Sauer have just introduced the ASP Precision Super Target Air Pistol, a .177 single shot pneumatic ai… [+2362 chars]"
0.4939,0.0,0.935,0.065,"We’re now less than an hour away from the Made by Google event, and we’re already fairly confident in what devices Google will be announcing. This morning, four of those products, the Google Pixel 4 (and 4 XL), Nest Mini, Nest WiFi Router and Nest WiFi Point,… [+1964 chars]"
0.4767,0.057,0.831,0.113,"In this episode of TFBTV, Hop shoots the Serbian made Zastava EZ-9 Compact to see if it can really serve as a budget alternative to a SIG P229.
««« GUN AND GEAR GIVEAWAYS »»»
PLEASE check out our Patreon and Subscribe Star pages if you enjoy our program, an… [+1121 chars]"
0.4404,0.0,0.942,0.058,"In this episode of TFBTV, James Reeves reviews the new Springfield Hellcat and compares it to the SIG P365. Both of these guns are ultra-compact doublestacks – truly the only guns of their type on the market. They are almost identical in size and weight and t… [+1308 chars]"
