compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"A coalition of blockchain researchers, entrepreneurs, and investors have opened a massive new blockchain incubator called “The Garage” in Paris as part of an effort to enhance Europe’s position as a hub for the emerging technology.
The incubator in the Paris… [+2447 chars]"
0.0,0.0,1.0,0.0,"LabGenius, a London-based startup applying AI and “robotic automation” to protein drug discovery, has raised $10 million in Series A funding.
The round is led by Lux Capital and Obvious Ventures, with participation from Felicis Ventures, Inovia Capital, Air … [+4018 chars]"
0.4215,0.0,0.936,0.064,"Uploadcare, a startup that aims to make using CDN platforms cheaper and easier for businesses, today announced that it has raised a $1.7 million seed round led by Runa Capital and Vendep Capital, with existing investors Vaizra Capital and LVL1 Group participa… [+2178 chars]"
0.0,0.0,1.0,0.0,"Capital One has replaced its cybersecurity chief, four months after the company disclosed a massive data breach involving the theft of sensitive data on more than 100 million customers.
A spokesperson for Capital One confirmed the news in an email to TechCru… [+1296 chars]"
0.4019,0.0,0.935,0.065,"More posts by this contributor
Recently reelected, Indonesian President Joko Widodo announceda desire to move the nation’s capital from Jakarta to the East Kalimantan region, citing environmental concerns, the most exigent of these being the fact that Jakart… [+3213 chars]"
0.1027,0.0,0.967,0.033,"Brazil continued to churn out unicorns this month, with Curitiba-based Ebanx becoming the first startup from the southern part of the country to top a $1 billion valuation. U.S.-based FTV Capital provided the investment but did not disclose the amount investe… [+8651 chars]"
0.0,0.0,1.0,0.0,"Stampli, the Mountain View-based company looking to automate invoice management, has today announced the close of a $25 million Series B round. The funding round was led by SignalFire, with participation from existing investors such as Hillsven Capital, Bloom… [+2060 chars]"
0.0,0.0,1.0,0.0,"Tines, a Dublin-based startup that lets companies automate aspects of their cybersecurity, has raised $4.1 million in Series A funding. Leading the round is Blossom Capital, the venture capital firm co-founded by ex-Index Ventures and LocalGlobe VC Ophelia Br… [+3476 chars]"
-0.128,0.036,0.964,0.0,"Wrench, the Seattle-based on demand vehicle maintenance and repair service for consumers and fleets, has raised $20 million in its latest round of financing.
The company’s round was led by Vulcan Capital with additional participation from Madrona Venture Gro… [+2338 chars]"
-0.6705,0.089,0.911,0.0,"On Tuesday morning, more than 12 hours after the shooting at the Ernesto Ramos Antonini housing complex in the Río Piedras neighborhood, the bodies of five of the people killed four men and one woman remained covered on the ground outside as the police gather… [+1443 chars]"
0.6249,0.0,0.9,0.1,"Disrupt Berlin is right around the corner. And there is plenty to look forward to.
Join us December 11 and December 12 to hear from industry leaders, investors, and bright stars in the startup world. We’ll sit down with CEOs from big-name companies such as A… [+14834 chars]"
0.0,0.0,1.0,0.0,"African on-demand trucking logistics company Lori Systems has raised a Series A round led by Chinese investors Hillhouse Capital and Crystal Stream Capital.
Other participating investors included Nigeria and U.S. based EchoVC, Flexport CEO Ryan Petersen, and… [+1491 chars]"
0.0516,0.061,0.873,0.066,"Hello and welcome back to Equity, TechCrunchs venture capital-focused podcast, where we unpack the numbers behind the headlines.
This week Kate and Alex broke the discussion into two main themes. The first dealt with early-stage companies, and the second, as… [+1647 chars]"
0.1531,0.05,0.888,0.062,"Hello and welcome back to Equity, TechCrunchs venture capital-focused podcast, where we unpack the numbers behind the headlines.
This week we did something just a little bit new. Kate was in studio at TechCrunch’s SF HQ. Alex was in his dork cave in Providen… [+1736 chars]"
0.3612,0.0,0.944,0.056,"Sequoia Capital founder Don Valentine passed way at his home in Woodside, Ca., today at age 87 of natural causes.
Sequoia posted a tribute to Valentine shortly afterward, calling him “one of a generation of leaders who forged Silicon Valley.”
A native of Ne… [+2593 chars]"
0.0,0.0,1.0,0.0,"Bespoke Financial wants to provide cannabis businesses with the same kind of financial services that other businesses get, but that dispensaries and growers can’t yet access.
The regulations around cannabis operations are so stringent at the local level — an… [+3356 chars]"
-0.7003,0.206,0.794,0.0,"Image copyrightReutersImage caption
 Protesters have been erecting burning barricades across Baghdad
Protesters have blocked the main thoroughfares in the Iraqi capital Baghdad, as mass anti-government protests continue.
Demonstrators were seen parking car… [+2761 chars]"
-0.8074,0.181,0.79,0.029,"(CNN)Jarrod Ramos, the man accused of killing five employees at the Capital Gazette newspaper last year, has admitted guilt in a Maryland court, according to the newspaper and the Washington Post. 
Ramos made the admission Monday in Anne Arundel County Circu… [+496 chars]"
-0.4404,0.065,0.935,0.0,"Three members of a theatre group have been stabbed during a live performance in Saudi Arabia, reports say.
Video posted on social media appeared to show a man wielding a knife rushing into performers on stage at the King Abdullah Park in the capital, Riyadh.… [+614 chars]"
-0.5994,0.081,0.919,0.0,"In 2004, shortly after the national World War II Memorial was completed, Earl Morse, a retired Air Force captain working at the Department of Veterans Affairs clinic in Springfield, Ohio, realized that many of the veterans he knew would never get to see it. … [+6477 chars]"
