compound,negative,neutral,positive,text
-0.3506,0.105,0.818,0.077,"Chick-fil-A is in trouble again. The popular fast food chain opened up its first restaurant in the U.K. in early October, but now the British shopping center leasing the restaurant is refusing to extend its six month lease, the BBC reported on Friday. 
This … [+794 chars]"
0.8016,0.0,0.854,0.146,"Kanye West released his anticipated album Jesus Is King on Friday, and while the reception of the album itself has been generally positive, people have very strong feelings about the track ""Closed on Sunday."" 
More specifically, fans cringed at the track's l… [+1306 chars]"
-0.7783,0.199,0.751,0.049,"Chick-fil-A probably thought there'd been a cease fire in the Great Chicken Sandwich War of 2019, but now the fight is officially back on.
Popeyes announced on Monday via Twitter that, after two long months with no chicken sandwiches, they're bringing back t… [+488 chars]"
0.1783,0.066,0.853,0.081,"This year, National Sandwich Day is on a Sunday — which means Chick-fil-A can't celebrate the day. 
This week, some Chick-fil-A customers got emails from the chain about celebrating National Sandwich Day. The annual celebration takes place on November 3, whi… [+1682 chars]"
0.4404,0.0,0.919,0.081,"My eyes welled up on several
occasions during Philippine Wrestling Revolution (PWR): Homecoming last
Saturday at the ABS-CBN Tent in Vertis North.
This isnt my first time to
attend a PWR show. It is my fourth. Like all the others Ive seen, they were
all … [+4464 chars]"
0.0,0.0,1.0,0.0,"In this video, Juan Benet, founder of our portfolio company Protocol Labs, talks about how Web3 is coming together and what Filecoin and IPFS’s role in it will be."
-0.7096,0.138,0.832,0.031,"Popeyes is mocking Chick-fil-A as the chicken sandwich wars heat up once again before National Sandwich Day. 
On Thursday, Chick-fil-A emailed customers to apologize for a prior email about National Chicken Sandwich Day, which takes place on November 3. 
""W… [+2012 chars]"
0.8402,0.0,0.809,0.191,"National chains including Chick-fil-A and Starbucks are honoring Veterans Day on Monday by giving out free food and coffee to military members and their families.
Chick-fil-A's offers vary by location. In Atlanta, for example, select locations will give away… [+603 chars]"
0.5093,0.0,0.93,0.07,"Hello! 
Welcome to another week of The Drive-Thru, where I'll be breaking down the biggest stories in shopping, fast food, and more. You can sign up to become a Drive-Thru subscriber here — which means that every Friday, I'll send you a rundown on what happe… [+5644 chars]"
-0.4939,0.137,0.825,0.037,"Earlier this year, Kanye West complained to Santa Claus no, check that; it was David Letterman on his Netflix series, My Next Guest Needs No Introduction that liberals often bully Trump supporters such as himself. We dont have to feel the same way, but we hav… [+3023 chars]"
0.0,0.0,1.0,0.0,"The first Chick-fil-A location in the U.K. will be closing in six months. The Oracle shopping mall in Reading, England had entered into a six-month pilot period with the American fast food chain, but announced Friday — only eight days after the fast food rest… [+2414 chars]"
-0.9501,0.34,0.616,0.044,Racist boss harassed Puerto Rican employees and broke labor laws. Ended up getting deported. I got him thrown in jail and ruined his relationship of 5 years. Revenge of the Little Spoon. Apparently toothpaste-filled Oreos taste like real Oreos. Spam king gets… [+2523 chars]
-0.3195,0.048,0.931,0.022,"The wait is over. The Chick Fil-A shade is in the past. All that matters now is it's Nov. 3. That means the Popeyes chicken sandwich is back. And it's here to stay.
The baffling hype around Popeyes chicken sandwich I just don't how it's better than a three-p… [+1579 chars]"
0.743,0.0,0.855,0.145,"Im sure the president isnt the only one who doesnt remember all their names. When the cabinet meets, there are probably a lot of comments like: I agree with that guy over there with the green tie.
But back to our contenders: Anybody having anything whatsoeve… [+1816 chars]"
0.3612,0.0,0.948,0.052,"Friday, October 25 on the year of our lord, 2019. It was around noon that Kanye Omari West finally dropped his long-delayed gospel album, Jesus Is King, after having promised to release it September 27, then September 29, then at midnight on October 25. When … [+2876 chars]"
0.0516,0.049,0.897,0.054,"WASHINGTON A group of Republicans put the Storm Area 51 logic to the test Wednesday and barged into a secure area on Capitol Hill, interrupting a private impeachment deposition and occupying the space for a few hours.
Led by Rep. Matt Gaetz, a Florida Republ… [+6726 chars]"
0.0,0.0,1.0,0.0,"In mid-2011, Kim Kardashian was married to then-New Jersey Nets player Kris Humphries for all of 72 days. In the summer of 2017, Anthony Scaramucci served as the White House Communications Director for 10 days. But it only took eight days for the first Chick-… [+3858 chars]"
0.128,0.048,0.894,0.058,"Fifteen of America's favorites received an ""F"" for their lack of action in reducing the use of beef raised with antibiotics, including Burger King, DQ, Jack In the Box, Pizza Hut, Olive Garden, Chili's, Sonic, Applebee's and the pizza chains of Domino's, Litt… [+1035 chars]"
