compound,negative,neutral,positive,text
0.4404,0.0,0.931,0.069,"ANTIPOLO: University of Santo Tomas bested Adamson University, 80-74, to improve its win-loss record to 8-6 in the elimination round of Season 82 University Athletic Association of the Philippines mens basketball tournament at the Ynares Sports Center here.
… [+1802 chars]"
0.2023,0.0,0.959,0.041,"ANTIPOLO - Ateneo de Manila University has dashed University of the East's chances in the UAAP 82 Men's Basketball Tournament once and for all with a resounding 84-50 rout, Sunday at Ynares Center here.
The Blue Eagles flat-out dominated the Red Warriors bef… [+1742 chars]"
0.8591,0.0,0.784,0.216,"QUEENS, N.Y. In an endorsement speech to an overflow crowd in Queensbridge Park on Saturday, Rep. Alexandria Ocasio-Cortez (D-N.Y.) credited Sen. Bernie Sanders (I-Vt.) with inspiring her to run for Congress.
“The only reason I had any hope in launching a lo… [+1953 chars]"
0.6124,0.0,0.881,0.119,"When Reps. Alexandria Ocasio-Cortez, Rashida Tlaib, and Ilhan Omar endorsed Sen. Bernie Sanders for president, all three cited the candidate's policy platform and his call for a ""political revolution."" But the key endorsements were also motivated by personal … [+4504 chars]"
0.4588,0.0,0.895,0.105,"Rep. Alexandria Ocasio-Cortez officially endorsed Sen. Bernie Sanders' 2020 bid earlier this month.
Kena Betancur/Getty Images
<ul><li>When Reps. Alexandria Ocasio-Cortez, Rashida Tlaib, and Ilhan Omar endorsed Sen. Bernie Sanders for president, all three c… [+5706 chars]"
0.891,0.0,0.681,0.319,"Abstract
The ability to effectively transfer photoexcited electrons and holes represents an important endeavor toward achieving highefficiency solar energy conversion. Herein, we develop a simple yet robust acidtreatment strategy to judiciously create an amo… [+1025 chars]"
0.8429,0.0,0.777,0.223,"Abstract
It is highly desirable to optimize the structure of photocatalysts at the atomic scale to facilitate the separation of electronhole pairs for enhanced performance, but it still remains challenging. Here, we report a highly efficient photocatalyst by… [+752 chars]"
0.4404,0.065,0.79,0.144,"Abstract
Traditional methods for analyzing organophosphorus pesticide chlorpyrifos, usually require the tedious sample pretreatment and sophisticated biointerfaces, inevitably leading to the difficulty for realtime analysis. Herein, we first adopt palladium … [+1310 chars]"
0.4404,0.065,0.79,0.144,"Abstract
Traditional methods for analyzing organophosphorus pesticide chlorpyrifos, usually require the tedious sample pretreatment and sophisticated biointerfaces, inevitably leading to the difficulty for realtime analysis. Herein, we first adopt palladium … [+1310 chars]"
0.7096,0.0,0.872,0.128,"Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different devic… [+56 chars]"
0.4404,0.0,0.944,0.056,"3345 14th Street, NW
Thanks to a couple of readers for sending word: “El Tio in Columbia Heights is closing on Sunday.”
El Tio opened up in the former Rumberos space back in 2014. Before El Tio, an Alero opened up in the former Rumberos space in the Tivoli … [+96 chars]"
0.6908,0.0,0.885,0.115,"When the weather starts to turn colder and youre not in the mood for red wine, Fino sherry might be just the thing. Completely dry, it has a briny nutty complexity that encourages sipping, and a nice weight with a lingering finish. Briny and nutty, Fino sherr… [+10407 chars]"
0.3818,0.0,0.934,0.066,"Abstract
Perovskite solar cells (PSC) which have exceeded power conversion efficiencies (PCEs) of 25% are mainly demonstrated by using SnO 2 or TiO 2 as electrontransporting layers (ETLs). However, highperformance planar PSCs need precise process, which is d… [+1283 chars]"
0.3818,0.0,0.934,0.066,"Abstract
Perovskite solar cells (PSC) which have exceeded power conversion efficiencies (PCEs) of 25% are mainly demonstrated by using SnO 2 or TiO 2 as electrontransporting layers (ETLs). However, highperformance planar PSCs need precise process, which is d… [+1283 chars]"
0.0,0.0,1.0,0.0,"Material composition
In accordance with the first premise, our ECD set-up in Fig. 1 relies on two organic complementary EC materials, each chemisorbed onto a NPL electrode, chosen with regard to their electronic behaviour. Prior to the discussion of device r… [+13863 chars]"
0.7096,0.0,0.872,0.128,"Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different devic… [+56 chars]"
0.6597,0.0,0.881,0.119,"If you are not the author of this article and you wish to reproduce material from
 it in a third party non-RSC publication you must 
 formally request permission using Copyright Clearance Center.
 Go to our 
 Instructions for using Copyright Clearance Cen… [+2741 chars]"
0.6597,0.0,0.881,0.119,"If you are not the author of this article and you wish to reproduce material from
 it in a third party non-RSC publication you must 
 formally request permission using Copyright Clearance Center.
 Go to our 
 Instructions for using Copyright Clearance Cen… [+2741 chars]"
