compound,negative,neutral,positive,text
0.4939,0.0,0.926,0.074,"Wealth disparity
 has been a big topic of conversation during the recent presidential debates there is a reason Sen. Bernie Sanders regularly says that billionaires should not exist.
But, billionaires do exist and theyre living as lavishly as ever. Case in … [+4255 chars]"
0.3818,0.112,0.733,0.155,"You could easily make the argument -- there may not even be an argument -- that the New England Patriots defense is, thus far, this year's fantasy football MVP.
And that brings forth an interesting dilemma for those of us -- yes, I've got them, too -- with t… [+13035 chars]"
0.34,0.0,0.938,0.062,"Despite early-stage virtual reality market and augmented reality market valuations softening in a transitional period, total global AR/VR startup valuations are now at $45 billion globally include non-pure play AR/VR startups discussed below, and that amount … [+1491 chars]"
0.7506,0.0,0.833,0.167,"Google collects lots of data, which is used to curate content recommendations on services like Google Play and YouTube, as well as market ads to you based on your activity. 
Weve talked about this practice a lot, but to Googles credit, the company has given … [+2628 chars]"
0.2263,0.0,0.961,0.039,"Depending on which study you believe, the wearable and digital health market could be worth anywhere from $30 billion to nearly $90 billion in the next six years.
If the numbers around the size of the market are a moving target, just think about how to gauge… [+8062 chars]"
0.0,0.0,1.0,0.0,"Before all these impossibly uncanny meat approximations hit the market, mushrooms were the meatless workhorse of vegetarian and vegan cuisine. Though the new faux animal proteins have pushed veggie burgers beyond the ol portobello-between-two-buns, I urge you… [+3641 chars]"
-0.2263,0.103,0.812,0.085,"36Kr, a Chinese news and data website that tracks startups, fell 10% in its Nasdaq debut on Friday.
The disappointing debut followed 36Kr’s decision to slash the size of its offering from 3.6 million shares to 1.4 million and pricing its shares at $14.5, the… [+1736 chars]"
-0.3818,0.061,0.939,0.0,"US regulators shouldn’t be sitting on their hands while the 50+ state, federal and congressional antitrust investigations of Google to grind along, search rival DuckDuckGo argues.
It’s put out a piece of research today that suggests choice screens which let … [+6918 chars]"
0.0772,0.0,0.97,0.03,"Readers continue to shower The New York Times with money. Advertisers, not so much.
The publisher added 273,000 new online subscribers in the third quarter, for a total of four million digital readers, the company reported Wednesday. The number of total subs… [+1166 chars]"
0.0,0.0,1.0,0.0,"Final Fantasy VI was first released in North America (as Final Fantasy III) eleven years and two days ago, on October 11th, 2019. On Friday, I streamed the game for two hoursafter reminiscing on my teenaged hype for the game for a half an hour with the visual… [+5379 chars]"
0.7579,0.071,0.69,0.239,"Photo by Steve Jennings/FilmMagic Offset is joining the platform, and they hope he’s the first major celebrity of many The streaming wars are heating up: corporate content giants like Netflix, Amazon, and Disney are all playing their positions, strengthening … [+9043 chars]"
0.1531,0.046,0.896,0.058,"This stretch of the Lower East Side used to be called the Seward Park Urban Renewal Area. During the 1950s, the citys powerful planning czar, Robert Moses, decided to bulldoze dozens of old tenements. These were buildings where, years before, Jewish and Itali… [+1872 chars]"
-0.0258,0.059,0.905,0.036,"Amazon Pay users in India can now use voice command with Alexa to pay their utility, internet, mobile, and satellite cable TV bills, the e-commerce giant said on Wednesday. This is the first time, the company said, it is pairing these functionalities with Ama… [+2134 chars]"
-0.3182,0.051,0.949,0.0,"Tesla is scheduled to report its third-quarter earnings after the market closes today. The earnings report comes at a critical time for Tesla as it prepares to begin production of the Model 3 at its new China factory.
This earnings report, its first without … [+3003 chars]"
0.5719,0.0,0.892,0.108,"Quip, the dental care startup that first went to market with electric toothbrushes, has launched its first product outside of brushes. Called Strand, the product is a floss applicator with a refillable canister.
Strand costs $20 for the metallic applicator a… [+1363 chars]"
0.7427,0.0,0.872,0.128,"The internet and search engines like Google have made the world our oyster when it comes to sourcing information, but when it comes to business, there remains a persistent need for more targeted market intelligence, a way to get reliable data quickly to get o… [+4933 chars]"
0.7096,0.044,0.79,0.166,"The Chromebook has been a marked hit for Google well, for Googles hardware partners, at least. Low cost devices have flooded the market, with a stranglehold on the educational category in particular. Googles own first party offerings, on the other hand, have … [+3344 chars]"
0.5499,0.031,0.866,0.103,"Googles first-party hardware has always been a drop in the bucket of global smartphone sales. Pixel devices have managed to crack the top five in the U.S. and Western Europe, but otherwise represent less than 1% of the overall market. Its true, of course, tha… [+16924 chars]"
0.0,0.0,1.0,0.0,"Scoot, owned by Bird, has just unveiled what it’s calling the Scoot Moped.
At first glance, it appears to be Bird’s two-seater vehicle. In June, Bird unveiled the Cruiser, which can seat up to two people and be pedal-assist or just have a peg, depending on t… [+797 chars]"
0.6486,0.027,0.835,0.138,"Kandji, a new Apple MDM solution that promises to go far beyond Apple’s base MDM protocol and other solutions on the market, emerged from stealth today with a $3.375 million seed investment. The product is also publicly available for the first time starting t… [+2370 chars]"
