compound,negative,neutral,positive,text
0.2732,0.051,0.851,0.099,"The crowded landscape of programs teaching non-technical people to become software developers has been a proving ground for a new model of education financing: income share agreements (ISAs). With an ISA, students avoid paying tuition upfront or taking out pr… [+4681 chars]"
0.8316,0.0,0.795,0.205,"If you want a quick and simple answer to one question on every tweens mindWhen can I sit in the front seat?its this: Age 13. Thats what the American Academy of Pediatrics recommends and is widely accepted as the safest age among car seat safety experts. 
But… [+4074 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
-0.7096,0.134,0.866,0.0,"To the Stars Academy of Arts and Sciences (TTSA)the UFO research organization founded by former Blink 182 star Tom DeLongehas struck a research deal with the U.S. Army filled with eye-popping references to exotic technologies.
TTSA, whose membership includes… [+8690 chars]"
0.4767,0.0,0.907,0.093,"After first announcing the project last year, Chinese tech giant Tencent has been given the go-ahead by the countrys tax officials to create blockchain-based invoice standards.
The invoices will be created as part of a project called  General Framework of DL… [+1268 chars]"
0.5719,0.0,0.895,0.105,"Jadon Sancho, Angel Gomes, Tammy Abraham, Callum Hudson-Odoi and Reiss Nelson have all been part of FFDTV
Jadon Sancho, Callum Hudson-Odoi, Tammy Abraham, Reiss Nelson... millions of pounds' worth of talent that would get any Premier League academy boss purr… [+5482 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
0.8781,0.049,0.7,0.251,"STOCKHOLM (Reuters) - The Swedish Academy has defended its decision to award the 2019 Nobel Prize for Literature to Austrian writer Peter Handke, saying he had made provocative comments but had not supported bloodshed. 
Handke’s prize has attracted criticism… [+2223 chars]"
0.954,0.022,0.689,0.29,"An Oscar for Iron Man?
Marvel Studios
Avengers: Endgame already won big at the box office, but could the Marvel blockbuster also score at the Academy Awards? Despite Robert Downey Jr. saying earlier that he didn't want Disney to put forth his name for an ac… [+1242 chars]"
-0.946,0.284,0.716,0.0,"A U.S. Military Academy cadet who went missing last week has been found dead, officials said.
Kade Kurita, 20, of Gardena, Calif., was found dead at the academy, also known as West Point, on Tuesday night. He went missing Friday evening, after failing to sho… [+1203 chars]"
0.5859,0.0,0.928,0.072,"Wow, youre so hairy, the boy standing to my daughters left said. He gazed in awe at her rounded seven-year-old arm, brown from the summer sun, and the silky, dark hair encircling it. It was the first day of second grade and the first time someone remarked abo… [+6997 chars]"
-0.6705,0.159,0.766,0.075,"Finally ditching the booster seat is a milestone that many kids (and their parents) look forward to. But rushing the transition could put a child at greater risk for injury in a crashand it could be illegal.
State laws regulate when its legal for kids to sto… [+1588 chars]"
-0.8922,0.271,0.671,0.059,"Reese Witherspoon has a goddamn Academy Award for ACTING and held her own against Meryl in the latest season of Big Little Lies so it's no trouble whatsoever for her to freak out Jimmy Fallon with a few well-placed screams.
The Tonight Show host got his gues… [+504 chars]"
0.7951,0.0,0.839,0.161,"So you saved some money and are looking for a phone. Good. Here's one that costs $70,000. 
Coming from Caviar, known for lavish iPhone makeovers, the new iPhone 11 Pro Discovery Solarius is as over-the-top as it gets. Its creation required half a kilogram of… [+1876 chars]"
0.4019,0.05,0.85,0.1,"Blue light before bedtime can make it harder to sleep, and the screens on phones, computers, and televisions emit plenty of blue light. This is all true. But if youre focused on blue light as a major problem affecting your sleep or your eye health, its time t… [+1790 chars]"
-0.8519,0.193,0.807,0.0,"Over time, it appears, the word took on a negative connotation for some officers. A bitter and burned-out complainer is the way Edward Conlon, the author and former detective, defined it in a 1998 New Yorker article, written under a pseudonym.
In a recent me… [+960 chars]"
-0.886,0.188,0.812,0.0,"WEST POINT, N.Y. (AP) A missing cadet has been found dead at West Point.
The U.S. Military Academy says in a statement that the body of 20-year-old Cadet Kade Kurita of Gardena, California, was found at around 10 p.m. on Tuesday.
The cause of his death is u… [+342 chars]"
0.0,0.0,1.0,0.0,"Last month he went a step further. He visited the students, now seniors, at their school, where he met them for the first time and regaled them with tales of his travels and words of advice.
Sandra Mosley, a mother of one of the students, stayed in touch wit… [+968 chars]"
0.0,0.0,1.0,0.0,"A West Point cadet and an M4 rifle have vanished, and “despite extensive search efforts by military, federal, state, and local agencies,” neither has been found, the U.S. Military Academy said on Monday.
The college said in a statement that the unidentified … [+1350 chars]"
-0.0772,0.067,0.894,0.04,"A massive search is underway for a cadet who has been missing from the United States Military Academy, also known as West Point, since Friday, officials said.
A rifle is also missing, but the cadet, who has not been named, is not believed to be carrying any … [+773 chars]"
