compound,negative,neutral,positive,text
-0.128,0.04,0.96,0.0,"It’s tough to find a project these days that doesn’t use an analog-to-digital converter (ADC) or digital-to-analog converter (DAC) for something. Whether these converters come as built-in peripherals on a microcontroller, or as separate devices connected over… [+9723 chars]"
0.4404,0.0,0.944,0.056,"Source: Windows Central
The Sound Blaster X3 is the latest sound experience from Creative, which seems to be on some form of a roll this year with new product releases. This new sound DAC is just what you need if you find your built-in audio on your device —… [+4806 chars]"
0.6705,0.0,0.819,0.181,"The Defence Acquisition Council (DAC) chaired by Defence Minister Rajnath Singh, which met on Monday, approved three projects worth 3,300 crore of indigenously designed and developed equipment. These include third generation Anti-Tank Guided Missiles (ATGM) a… [+631 chars]"
0.4215,0.0,0.939,0.061,"Electrical engineers will recognize the Bode plot as a plot of the frequency response of a system. It displays the frequency on the x-axis and the phase (in degrees) or magnitude (in dB) on the y-axis, making it helpful for understanding a circuit or transfer… [+1147 chars]"
-0.7501,0.159,0.841,0.0,"A statistical loophole is stopping research funding from getting to small island states among the most vulnerable to climate change and among the least culpable for it. By contrast, international aid after disasters such as that caused by Hurricane Dorian (go… [+970 chars]"
-0.7501,0.159,0.841,0.0,"A statistical loophole is stopping research funding from getting to small island states among the most vulnerable to climate change and among the least culpable for it. By contrast, international aid after disasters such as that caused by Hurricane Dorian (go… [+970 chars]"
0.8016,0.0,0.848,0.152,"We’ve covered Schiit Audio extensively over the past few years because, frankly, they’re great. The small California audio company makes a variety of really nice and high-performing DACs and amplifiers, for desktops and home hi-fi setups, and it sells them at… [+917 chars]"
0.8439,0.0,0.807,0.193,"Small single-board computers like the Raspberry Pi are ideal for use as small stand-alone network audio players. With Volumio and other specialized Linux distributions, putting together an audio player is remarkably easy. And as Elektor staff member Ton Giesb… [+575 chars]"
-0.4588,0.091,0.856,0.053,"When Microsoft decided to kill Windows Phone in favor of adopting Android and iOS as first class citizens for its mobile experiences, many Windows fans were quick to assume that this plan would backfire and see Microsoft fall out of the mobile space altogethe… [+3221 chars]"
0.5267,0.0,0.907,0.093,A new integrated USB-DAC cable has launched via Kickstarter this month and has already raised over three times its required pledge goal thanks to nearly 600 backers with still 20 days left on its campaign. Ztella has been designed to provide users with a new … [+1214 chars]
0.7506,0.0,0.841,0.159,"Ever since Analogue released its Nt Mini console that re-creates Nintendo Entertainment System hardware, I wondered when it would do the same for Game Boy. Well, here comes the Analogue Pocket. This is a sleek device that looks like a modern reinvention of a … [+4394 chars]"
0.8555,0.0,0.813,0.187,"I like speakers with dark wood finishes. My friend Sphere loves speakers painted red. My partner bb prefers blue ones that match her room. Tekton Design makes speakers in these and many other colors and finishes. Tekton speakers, though, also have many tweete… [+1894 chars]"
0.3818,0.062,0.802,0.136,"Danaos (DAC) came out with quarterly earnings of $2.46 per share, beating the Zacks Consensus Estimate of $2.14 per share. This compares to earnings of $3.22 per share a year ago. These figures are adjusted for non-recurring items.
This quarterly report repr… [+3118 chars]"
0.93,0.0,0.743,0.257,"Source: Windows Central
Since its birth, Minecraft has been blessed with unabated growth into the beautiful and positively massive game it is today. Minecraft still has not subsided, and in fact is planning a bevy of updates to add bees, new Nether mechanics… [+6211 chars]"
0.0,0.0,1.0,0.0,"Texas instruments has an app note and video explaining how to make a programmable output power supply using a typical LDO voltage regulator and a DAC. This is the technique we used for the Bus Pirate Ultra power supply to get 0.8 to 5volts output, and it work… [+660 chars]"
0.8519,0.044,0.764,0.192,"I mused a while back in my Ether 2 review what it meant for something to be the best, at what it does. Moving beyond the, frankly, intellectually lazy idea that its all subjective, I came to the conclusion that with regards to audio, best is something that ex… [+6577 chars]"
-0.3875,0.065,0.935,0.0,"T+A Elektroakustik DAC 8 DSD Digital-to-Analog Converter$4450Many digital audio experts maintain that it’s just not possible to optimize decoding of both PCM and DSD data streams with a one-lane architecture, even though there are plenty of DAC chips availabl… [+2636 chars]"
-0.6486,0.091,0.909,0.0,"dCS Bartok DAC with Headphone Amplifier Review
Rajiv Arora
Editors Note: Having realized that online privacy is officially dead, @austinpop has decided to write his articles under his own name, Rajiv Arora, in the byline. Rajiv tells us more about himself i… [+50916 chars]"
-0.6486,0.091,0.909,0.0,"dCS Bartok DAC with Headphone Amplifier Review
Rajiv Arora
Editors Note: Having realized that online privacy is officially dead, @austinpop has decided to write his articles under his own name, Rajiv Arora, in the byline. Rajiv tells us more about himself i… [+51100 chars]"
