compound,negative,neutral,positive,text
0.3612,0.0,0.941,0.059,"At its annual Ignite conference in Orlando, Florida, Microsoft today announced a major new Azure service for enterprises: Azure Synapse Analytics, which Microsoft describes it as “the next evolution of Azure SQL Data Warehouse.” Like SQL Data Warehouse, it ai… [+1456 chars]"
-0.4215,0.069,0.931,0.0,"0 with 0 posters participating
The gut-brain axis is officially a thing. Evidence is accumulating that the gut microbiome, and perturbations in it, can affect behaviorat least in mice. New work is starting to unravel how.
Extinguishing fears
Normally, anim… [+3690 chars]"
0.0,0.0,1.0,0.0,"Its been a few weeks since Razer announced the Viper Ultimate a wireless gaming mouse which the company claims delivers 99.6-percent resolution accuracy.
The Viper Ultimate builds on Razers Viper lineup, which emphasizes performance, precision, and speed in … [+4999 chars]"
0.2732,0.0,0.95,0.05,"your brain. Presumably your brain isn't being photographed at this moment.""/&gt;
 Enlarge/ This is your brain. Well, not your brain. Presumably your brain isn't being photographed at this moment.
0 with 0 posters participating
The brain is, at least to me,… [+5482 chars]"
0.3612,0.0,0.941,0.059,"At its annual Ignite conference in Orlando, Florida, Microsoft today announced a major new Azure service for enterprises: Azure Synapse Analytics, which Microsoft describes it as ""the next evolution of Azure SQL Data Warehouse."" Like SQL Data Warehouse, it ai… [+1501 chars]"
-0.4215,0.123,0.792,0.085,"A new malware has infiltrated popular chat service Discord, and it has the potential to steal your email address, phone number, username, password, IP address, and more. 
The malware affecting the gaming-centric online chat app is being called Spidey Bot, ac… [+2015 chars]"
-0.296,0.049,0.951,0.0,"Source: Windows Central
I make no secret of my affinity for Razer's gaming mice. I've been a long time user of the legendary DeathAdder Elite, which I thought I would never replace. That is, until the Viper came along and changed everything.
But how do you … [+9601 chars]"
-0.2023,0.068,0.881,0.051,"The specific type of TCP attack used in the recent spate of DDoS efforts were TCP SYN-ACK reflection attacks.The last 30 days has seen a renewed increase in distributed denial-of-service (DDoS) activity, according to researchers, who said that they have obser… [+3927 chars]"
-0.5256,0.152,0.788,0.06,"Highly strained hydrocarbons with two di/tribenzocycloheptatriene units were designed as electrochromic overcrowded ethylenes that undergo reversible interconversion with stable dicationic dyes. Due to severe steric repulsion, two configurational isomers (ant… [+642 chars]"
0.4215,0.0,0.93,0.07,"In work that combines a deep understanding of the biology of soft-bodied animals such as earthworms with advances in materials and electronic technologies, researchers from the United States and China have developed a robotic device containing a stretchable t… [+2197 chars]"
-0.079,0.088,0.831,0.081,Attackers over the past month have been using a rarely seen approach to disrupt services at large organizations in several countries.Cybercriminals appear to have finally figured out a way to launch highly effective distributed denial-of-service (DDoS) attack… [+4534 chars]
0.0,0.0,1.0,0.0,"Abstract
A palladiumcatalyzed dearomative syn1,4oxyamination protocol using nonactivated arenes has been developed. This onepot procedure utilizes arenophile chemistry, and the corresponding paracycloadducts are treated with oxygen nucleophiles via formal al… [+707 chars]"
0.0,0.0,1.0,0.0,"Abstract
A palladiumcatalyzed dearomative syn1,4oxyamination protocol using nonactivated arenes has been developed. This onepot procedure utilizes arenophile chemistry, and the corresponding paracycloadducts are treated with oxygen nucleophiles via formal al… [+707 chars]"
0.3612,0.0,0.945,0.055,"Microsoft just held one of its largest conferences of the year, and a few major announcements were made which pertain to the cloud data science world. Here they are in my order of importance (based upon my opinion). 
Azure Synapse
I think this announcement … [+2324 chars]"
0.6369,0.0,0.905,0.095,"On November fourth, we announced Azure Synapse Analytics, the next evolution of Azure SQL Data Warehouse. Azure Synapse is a limitless analytics service that brings together enterprise data warehousing and Big Data analytics. It gives you the freedom to query… [+5738 chars]"
