compound,negative,neutral,positive,text
-0.0094,0.056,0.889,0.055,"(Reuters) - A proposed merger between France’s Groupe PSA (PEUP.PA) and Fiat Chrysler Automobiles (FCHA.MI) would give FCA access to Peugeot’s more modern and flexible vehicle architectures, potentially enabling the combined companies to achieve lower costs t… [+3364 chars]"
-0.4404,0.094,0.906,0.0,"Image source: The Motley Fool.
Compass Minerals International Inc (NYSE:CMP)Q3 2019 Earnings CallNov 6, 2019, 10:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
[Op… [+56442 chars]"
0.0,0.0,1.0,0.0,"Mumbai: Congress leaders from Maharashtra met Shiv Sena president Uddhav Thackeray on Wednesday to discuss the modalities of a 'common minimum programme' (CMP) for a possible alliance to form government in the state.
Maharashtra Congress president Balasaheb … [+2112 chars]"
-0.0772,0.097,0.835,0.067,"Marketers are facing a content chasm in producing digital ad creative. Now more than ever, consumers are expecting content thats personal, relevant and ubiquitous straining already limited production budgets and resources.
In order to meet these consumer dem… [+1526 chars]"
0.128,0.0,0.968,0.032,"If I have heard it once, I have heard it a thousand times. The only legal ground rod must be installed a minimum of 8-foot in the ground. The length of rod and pipe electrodes is located at 250.52(A)(5) in the 2017 National Electric Code (NEC). See figures 1 … [+12975 chars]"
0.0,0.0,1.0,0.0,"Mumbai: The NCP on Wednesday named its five members for a joint committee to be formed with the Congress for deciding a 'common minimum programme' before their possible alliance with the Shiv Sena for government formation in Maharashtra.
NCP's legislature pa… [+1527 chars]"
-0.3818,0.142,0.796,0.062,"The Center for Medical Progress is fighting an uphill battle after they exposed Planned Parenthood’s trafficking of the hearts, brains, lungs, livers and limbs of developing infants. Following in the footsteps of Kamala Harris, California Attorney General Xav… [+2855 chars]"
0.2732,0.0,0.948,0.052,"Oct 31, 2019, 19:00 (0 Talkback[s]) 
(Other stories by Sean Michael Kerner)Managing applications across different types of server infrastructure, including cloud as well as virtualized server on premises is the domain of Cloud Management Platforms (CMP).
Wh… [+286 chars]"
0.471,0.052,0.827,0.121,"certified medicaid planner
Medicaid isnt the easiest federal program to navigate. A Certified Medicaid Planner (CMP) can help. A CMP has expert-level experience with Medicaid program and can help people navigate both current and new Medicaid rules. If you ne… [+6456 chars]"
0.3612,0.045,0.859,0.096,"References to Advisories, Solutions, and Tools
By selecting these links, you will be leaving NIST webspace. We have provided these links to other web sites because 
 they may have information that would be of interest to you. No inferences should be drawn o… [+406 chars]"
0.0,0.0,1.0,0.0,"OVERLAND PARK Nov 7, 2019 (Thomson StreetEvents) -- Edited Transcript of Compass Minerals International Inc earnings conference call or presentation Wednesday, November 6, 2019 at 3:00:00pm GMT==================================================================… [+69586 chars]"
0.5267,0.046,0.816,0.138,"Compass Minerals (CMP) came out with quarterly earnings of $0.36 per share, missing the Zacks Consensus Estimate of $0.68 per share. This compares to earnings of $0.37 per share a year ago. These figures are adjusted for non-recurring items.
This quarterly r… [+3136 chars]"
-0.0258,0.051,0.901,0.048,"Tens of thousands of Mainers remained without power for a second day Friday, forcing many schools to close again and prompting some businesses to fret over lost inventory and business.
Central Maine Power and Atlantic Broadband crews work to restore power an… [+8190 chars]"
0.6705,0.0,0.851,0.149,"The California Consumer Privacy Act (CCPA) goes into effect on January 1, and, last week, compliance platform Sourcepoint released a new compliance solution.
The solution is in the form of additional capabilities in the companys existing Consent Management P… [+2031 chars]"
0.3612,0.0,0.918,0.082,A whopping number of 13F filings filed with U.S. Securities and Exchange Commission has been processed by Insider Monkey so that individual investors can look at the overall hedge fund sentiment towards the stocks included in their watchlists. These freshly-s… [+5181 chars]
0.2263,0.0,0.956,0.044,"A powerful coastal storm is lashing Maine, knocking out power to more than 204,000 homes and businesses Thursday morning.
Mainers woke to heavy rain and gusting winds, but those conditions are expected to taper off by mid-morning. Road across southern Maine … [+5048 chars]"
0.0,0.0,1.0,0.0,"Testifying on the witness stand Monday, pro-life activist David Daleiden claimed that Texas Planned Parenthood Gulf Coast planned to ""move forward"" with a deal he pitched to them as an undercover investigator to sell aborted baby livers at $750 each.
The tra… [+2353 chars]"
0.25,0.0,0.951,0.049,"The Karnataka High Court on Monday directed the State and Central governments to file their responses on a PIL petition, which wants the State government to implement the Comprehensive Mobility Plan (CMP) and Integrated Traffic Ratio Rationalisation Plan (ITR… [+1441 chars]"
