compound,negative,neutral,positive,text
0.4019,0.0,0.828,0.172,"Enlarge/ The Bullet Cluster is widely viewed as a clear demonstration of the existence of dark matter.
0 with 0 posters participating
Dark matter is the mysterious substance that comprises about 23 percent of all the matter and energy in our universe, but t… [+6201 chars]"
0.296,0.0,0.922,0.078,"<li>1.Bertone, G., Hooper, D. &amp; Silk, J. Particle dark matter: evidence, candidates and constraints. Phys. Rep. 405, 279390 (2005).
</li><li>2.Frieman, J. A., Turner, M. S. &amp; Huterer, D. Dark energy and the accelerating Universe. Annu. Rev. Astron. A… [+4266 chars]"
0.296,0.0,0.922,0.078,"<li>1.Bertone, G., Hooper, D. &amp; Silk, J. Particle dark matter: evidence, candidates and constraints. Phys. Rep. 405, 279390 (2005).
</li><li>2.Frieman, J. A., Turner, M. S. &amp; Huterer, D. Dark energy and the accelerating Universe. Annu. Rev. Astron. A… [+4266 chars]"
-0.2755,0.046,0.954,0.0,"Astronomers around the world are in a bit of a tizzy because they can't seem to agree about how fast the universe is expanding
. 
Ever since our universe emerged from an explosion of a tiny speck of infinite density and gravity, it has been ballooning, and … [+7277 chars]"
0.4927,0.0,0.885,0.115,"Very little is known about the exact nature of dark matter. Currently, some of the most promising dark matter candidates are extremely light bosonic particles such as axions, axion-like particles or even dark photons. ""These can also be regarded as a classica… [+3652 chars]"
0.0258,0.0,0.973,0.027,"The international ALPS II (""Any light particle search"") collaboration installed the first of 24 superconducting magnets today, marking the start of the installation of a unique particle physics experiment to look for dark matter. Located at the German researc… [+5332 chars]"
0.5423,0.0,0.897,0.103,"<li>1.Pohl, R. et al. The size of the proton. Nature466, 213216 (2010).
</li><li>2.Mohr, P. J., Taylor, B. N. &amp; Newell, D. B. CODATA recommended values of the fundamental physical constants: 2006. Rev. Mod. Phys. 80, 633730 (2008).
</li><li>3.Beyer, A. … [+4490 chars]"
0.5423,0.0,0.897,0.103,"<li>1.Pohl, R. et al. The size of the proton. Nature466, 213216 (2010).
</li><li>2.Mohr, P. J., Taylor, B. N. &amp; Newell, D. B. CODATA recommended values of the fundamental physical constants: 2006. Rev. Mod. Phys. 80, 633730 (2008).
</li><li>3.Beyer, A. … [+4490 chars]"
-0.2755,0.046,0.954,0.0,"Astronomers around the world are in a bit of a tizzy because they can't seem to agree about how fast the universe is expanding
. 
Ever since our universe emerged from an explosion of a tiny speck of infinite density and gravity, it has been ballooning, and … [+7149 chars]"
0.2263,0.0,0.935,0.065,The particle that makes up the dark matter of the Universe could be an axion or axionlike particle. A collection of axions can condense into a bound Bose-Einstein condensate called an axion star. It is possible that a significant fraction of the axion dark ma… [+607 chars]
0.0258,0.0,0.954,0.046,"A new paper asks: What if antimatter is the portal into the dark universe?
Measurements of the universe reveal that most of its mass appears to be dark matter, invisible stuff that interacts with regular matter via the laws of gravity but hasnt been directly… [+3930 chars]"
0.3919,0.0,0.946,0.054,"Our universe has been expanding from the moment it was conceived in the big bang, but the speed of its expansion has been at the heart of a heated scientific debate.A new particle, dubbed the axion, is changing dark energy in the cosmos, claims theoretical ph… [+2599 chars]"
0.9081,0.047,0.675,0.279,"We construct a theory in which the solution to the strong C
P
problem is an emergent property of the background of the dark matter in the Universe. The role of the axion degree of freedom is played by multibody collective excitations similar to spin waves i… [+1080 chars]"
0.6369,0.0,0.887,0.113,"A team led by Prof Dmitry Budker has continued their search for dark matter within the framework of the ""Cosmic Axion Spin Precession Experiment"" (or ""CASPEr"" for short). The CASPEr group conducts their experiments at the PRISMA+ Cluster of Excellence at Joha… [+4618 chars]"
0.0258,0.0,0.973,0.027,"Could the profound mysteries of antimatter and dark matter be linked? Thinking that they might be, scientists from the international BASE collaboration, led by Stefan Ulmer of the RIKEN Cluster for Pioneering Research, and collaborators have performed the fir… [+3797 chars]"
-0.5423,0.153,0.766,0.081,"By Naomi Uzor
Against the backdrop of failure of roads across the country as well as incessant building collapses being recorded in the nation, Axion Global Engineering Limited, has recommended the use of Tuffcrete and Bitumen booster to permanently address … [+2501 chars]"
0.0,0.0,1.0,0.0,"NEW YORK--(BUSINESS WIRE)--Colgate-Palmolive Company (NYSE:CL) will provide a live webcast of its 2019 third quarter earnings conference call on Friday, November 1, 2019, at 11:00 a.m. ET. The call will be hosted by President and CEO, Noel Wallace, and Senior… [+1410 chars]"
0.2732,0.0,0.949,0.051,"<ul><li>Share to facebook</li><li>Share to twitter</li><li>Share to linkedin</li></ul>
The four possible fates of our Universe into the future; the last one appears to be the Universe we... [+] live in, dominated by dark energy. What's in the Universe, along… [+37043 chars]"
0.6369,0.0,0.887,0.113,"A team led by Prof Dmitry Budker has continued their search for dark matter within the framework of the ""Cosmic Axion Spin Precession Experiment"" (or ""CASPEr"" for short). The CASPEr group conducts their experiments at the PRISMA+ Cluster of Excellence at Joha… [+3119 chars]"
0.0258,0.0,0.973,0.027,"The international ALPS II (""Any light particle search"") collaboration installed the first of 24 superconducting magnets today, marking the start of the installation of a unique particle physics experiment to look for dark matter. Located at the German researc… [+6411 chars]"
