compound,negative,neutral,positive,text
0.5574,0.0,0.921,0.079,"Emma Watson is happily single and she's even coined a new term to describe her unfettered relationship status.
In a cover story for the British Vogue December issue, Watson told Paris Lees that she calls it ""self-partnered"". The Little Women star also spoke … [+1679 chars]"
-0.296,0.104,0.837,0.06,"10. And finally, buyer beware.
eBay is littered with haunted listings feathers, coins, pebbles, dolls that come with disclaimers of luck or misfortune. So many things have happened when this doll is near, one seller warned. She must go. I cannot have her in … [+564 chars]"
-0.1531,0.039,0.961,0.0,"Less than two miles from Icelands Reykjavik airport sits a nondescript metal building as monolithic and drab as a commercial poultry barn. Theres a deafening racket inside, too, but it doesnt come from clucking chickens. Instead, tens of thousands of whirring… [+3426 chars]"
0.6486,0.0,0.89,0.11,"British engineering firm Geomiq is now accepting submissions from the public to be the literal face of a state of the art humanoid robot slated for production in exchange for $130,000, CNET reported on Tuesday.
Geomiq is asking for those interested to sent i… [+1792 chars]"
0.0,0.0,1.0,0.0,"Libra season is over. On October 23, Facebook founder and Turing Test dropout Mark Zuckerberg testified to Congress for five hours about the cryptocurrency that Facebook wants to launch next yearbut which now might never launch at all. Heres what went down.
… [+13361 chars]"
-0.5719,0.169,0.706,0.125,"And you guys, he's kind of the worst. (Test notes from Mat: ""Ring is annoying and can fuck off."") To be fair, this is a kid's game -- or at least, a game sanitized enough to merit a family-friendly 'E' rating. To my ears, Ring sounds like a generic cartoon ch… [+4427 chars]"
0.4215,0.049,0.846,0.104,"MANILA -- Bangko Sentral ng Pilipinas said on Tuesday it was reducing the reserve requirement ratio (RRR) for bonds issued by banks and quasi-banks to 3 percent, from 6 percent, in line with its commitment to help deepen the local debt market.
The new rate i… [+654 chars]"
0.9674,0.0,0.615,0.385,"It might even be better than Super Mario Party
Photo by Amelia Holowaty Krales / The Verge
Nintendos Ring Fit Adventure, the spiritual successor to the Wii Fit that launches today for the Switch, is a genuinely fun way to work up a sweat. After playing it r… [+3225 chars]"
0.0,0.0,1.0,0.0,"Corey Helford Gallery in Los Angeles will be showing the work of painter Nicoletta Ceccoli from November 2 to December 7. Here are a few of the paintings in the show:
Russian artist Roman Booteen modifies coins with incredible engravings and feats of mechani… [+1612 chars]"
0.7263,0.0,0.859,0.141,"The founders and creators of privacy-focused cryptocurrency Zcash are handing ownership of the coins trademark to a non-profit organization that supports the project, for free!
According to a blog post on Electric Coin Companys (ECC) website, the contract of… [+1520 chars]"
-0.4215,0.115,0.827,0.058,"In Limestone County, Alabama, Christopher James Shock, 32, was arrested for counterfeiting after a garbage collector spotted bags filled with bills in Shock's trash cans and called police. A clue that the money was funny is that one of the $50 notes was print… [+2080 chars]"
0.5574,0.0,0.927,0.073,"In 2009, Japanese artist Yoshitomo Nara was hanging out with his business manager Tim Blum in the Manhattan bar Niagrara. Nara pulled out a marker and drew some of his fantastic figures on the walls. (Later that night, he did the same thing at a subway statio… [+1610 chars]"
0.296,0.0,0.945,0.055,"U.S. authorities said on Friday they have halted a $1.7 billion unregistered digital token offering by the messaging service Telegram and its TON Issuer subsidiary.
The Securities and Exchange Commission said it had received a temporary restraining order aga… [+1181 chars]"
0.7713,0.0,0.81,0.19,"The Cybersecurity Visuals Challenge was conceived as a way to produce ""imagery that better represents the cybersecurity space in an accessible and compelling manner.""  Something more meaningful than ""pictures of locks, white men in hoodies, or green 1s and 0s… [+3929 chars]"
0.0772,0.09,0.835,0.075,"The CEO of South Korean cryptocurrency exchange CoinUp has been sentenced to 16 years prison for his role in defrauding investors out of 450 billion won ($384 million), Yonhap News reports.
Mr. Kang-mo, alongside a raft of his executives, were found to have … [+1412 chars]"
0.2263,0.064,0.828,0.108,"Momentum is building for an idea that was once considered outlandish -- a U.S. government-run virtual currency that would replace physical cash, a dramatic move that could discourage major companies like Facebook from creating their own digital coins. Faceboo… [+2236 chars]"
-0.5106,0.086,0.875,0.039,"Brendan is a 34-year-old investor building an empire of rentals and seemingly random retail operations. He decided to buy a run-down old-timey laundromat. It's clean and there's a lot of machines in it, but some of them are broken, so he didn't do any marketi… [+2110 chars]"
0.0,0.0,1.0,0.0,"As part of BioWares annual Mass Effect celebration, N7 Day, the developer is now offering four themed Javelin skins in Anthem. Youll also find a new emote within the in-game store along with a Mass Effect: Andromeda-themed wrap. You can grab these items until… [+2410 chars]"
0.1796,0.053,0.841,0.106,"As long as people want to lose weight, theres always going to be some sort of fitness griftbe it $4,000 treadmills with on-demand classes, a mirror that guides you through workouts, or the army of Peloton knockoff bikes. Itd be fair if your first impulse woul… [+9052 chars]"
0.4019,0.076,0.835,0.089,"Welcome to Hard Fork Basics, a collection of tips, tricks, guides, and advice to keep you up to date in the cryptocurrency and blockchain world.
The world of cryptocurrency can be confusing at the best of times, but if you throw in the terms whale, bear, and… [+2653 chars]"
