compound,negative,neutral,positive,text
0.4019,0.0,0.942,0.058,"While we are getting late into the Linux 5.4 cycle, there still is some interesting AMDGPU work settling down.
The latest batch of fixes today for the AMD Radeon Linux kernel graphics driver include:
- Updates for building the AMDGPU driver under LLVM Clang… [+647 chars]"
0.2732,0.0,0.943,0.057,"Description
Certain D-Link devices have a hardcoded Alphanetworks user account with TELNET access because of /etc/config/image_sign or /etc/alpha_config/image_sign. This affects DIR-600 B1 V2.01 for WW, DIR-890L A1 v1.03, DIR-615 J1 v100 (for DCN), DIR-645 A… [+751 chars]"
0.6124,0.031,0.848,0.121,"At least 18 cities or regions in the United States now have living, breathing wage transparency documents for baristas, detailing metrics such barista pay, types and levels of benefits, demographic data, employment status, job experience, and more.
Of course… [+5387 chars]"
0.5413,0.044,0.832,0.125,"A look at the shareholders of Dacian Gold Limited (ASX:DCN) can tell us which group is most powerful. Generally speaking, as a company grows, institutions will increase their ownership. Conversely, insiders often decrease their ownership over time. Warren Buf… [+4562 chars]"
0.8316,0.05,0.734,0.216,"Pumpkin spice has become an iconic flavoring in the United States, a reality for which coffee roasters and retailers can safely shoulder most of the blame or accept most of the credit, should you be a PSL-half-full type. 
Forbes estimated that in 2015 Starbu… [+6764 chars]"
-0.4215,0.227,0.614,0.159,"Problems with fire and electrical systems have been found at a new hospital which has been lying empty due to safety concerns.
A report into safety issues at Edinburgh's new children's hospital identified ""major"" issues with the electrics in critical care ar… [+3264 chars]"
0.3612,0.0,0.938,0.062,"Red Bay Coffee’s new headquarters, which also includes a new coffee shop, in Oakland’s Fruitvale neighborhood. All images courtesy of Red Bay Coffee.
Following a $5 million Series A funding round that closed last winter, Oakland, California-based Red Bay Cof… [+2372 chars]"
0.8126,0.0,0.853,0.147,"This past Sunday, Prince of Peace Church in Taylors, South Carolina, inaugurated a new shrine to Blessed Karl of Austria, the 13th such shrine in North America, and the first in South Carolina. Fr Boniface Hicks, O.S.B., a monk of St Vincent Archab­bey in Lat… [+1797 chars]"
0.0,0.0,1.0,0.0,"LOS ANGELES--(BUSINESS WIRE)--Herbalife Nutrition (NYSE: HLF), a premier global nutrition company, today announced that leaders and experts from its staff of more than 300 scientists, Ph.D.s, and advisors, will participate at upcoming scientific conferences w… [+5988 chars]"
0.8834,0.0,0.745,0.255,"The Coffee for Peace logo
Colombia’s National Federation of Coffee Growers (FNC) and the United States Agency for International Development (USAID) have launched a major marketing and trade facilitation initiative called Coffee for Peace.
Formally announced… [+2912 chars]"
0.9001,0.0,0.729,0.271,"Educational games have been playing an important role in our cultural development for thousands of years. Nowadays, we can see gamification making duties and responsibilities feel fun and entertaining for the players. Can those principles be successfully impl… [+6725 chars]"
-0.5994,0.112,0.86,0.028,"Council chiefs have declared a High streets emergency as they reveal the number of planning applications for new shops has almost halved in five years.
Shock figures show there were just 1,258 applications received by district councils in England in the year… [+3133 chars]"
0.7351,0.0,0.854,0.146,"The Goffee reusable vessels. All images courtesy of Goffee.
In business, time is money. For the past year, a New York City start-up called Goffee has been trying to save offices and their workers both.
The company, which launched in September of last year, … [+3799 chars]"
0.8316,0.0,0.837,0.163,"A cupping at the SanCoffee warehouse as The Cup of Excellence coffee quality competition and auction program celebrated its 20th anniversary earlier this year in Brazil. Daily Coffee News photo by Howard Bryman.
Driven by the pursuit of quality, consumer int… [+16492 chars]"
0.0,0.0,1.0,0.0,"In this age of gig work and remote employment, whereby the lines between coffee shops and co-working spaces are often blurred to near invisibility, the question of whether a coffee shop should offer Wi-Fi sounds almost quaint.
Think back nine years ago to wh… [+6232 chars]"
0.0,0.0,1.0,0.0,"By offering a fixed price at a premium above marketand, for Cafe Imports, above our usual differential for Regional Select coffees, which are already priced at a quality premiuma producer is able to make plans and investment decisions for the future: One of t… [+8255 chars]"
-0.7845,0.144,0.856,0.0,"by Michael Teahan
This Could Get Me Killed
I have been in the coffee industry since six small espresso bars in Seattle changed their name to Starbucks. At the time, espresso machines were expensive, misunderstood boxes with metric everything and parts price… [+11383 chars]"
0.2023,0.0,0.954,0.046,"CENTENNIAL, Colo.--(BUSINESS WIRE)--National CineMedia, Inc. (NASDAQ: NCMI) (the Company), the managing member and owner of 48.6% of National CineMedia, LLC (NCM LLC), the operator of the largest cinema advertising network reaching movie audiences in North Am… [+32062 chars]"
0.9169,0.0,0.704,0.296,"Classic Guides
October 28, 2019
 British model Jean Campbell modeling a fall-winter 2019 look from Porter Magazine's outwear special. Photo credit: Quentin De Briey. Image credit: Net-A-Porter 
 By Staff reports
Luxury Daily annually honors 25 smart women… [+134546 chars]"
