compound,negative,neutral,positive,text
0.2263,0.0,0.96,0.04,"At least that's the idea. While it's not as intensive as mining Bitcoin, running a full node still requires a lot of computing power. In fact, HTC recommends only using the feature while the phone is connected to WiFi and plugged into its power adapter. The c… [+2014 chars]"
0.3818,0.069,0.811,0.12,"Its been an eventful year for carbon-free energy in the UK. First, Great Britain went a week without coal for the first time since the Industrial Revolution. Then the country fired (wound?) up the worlds largest offshore wind farm. 
And on Monday, a new anal… [+3550 chars]"
-0.5859,0.135,0.821,0.043,"KIEV (Reuters) - Sweeping changes to Ukraine’s top law enforcement agency ordered by President Volodymyr Zelenskiy are set to derail a series of long-running criminal investigations, including two related to U.S. President Donald Trump’s former campaign chair… [+9949 chars]"
-0.1082,0.129,0.767,0.104,"In the Security team at Monzo, one of our goals is to move towards a completely zero trust platform. This means that in theory, we'd be able to run malicious code inside our platform with no risk the code wouldn't be able to interact with anything dangerous w… [+14557 chars]"
0.0516,0.0,0.973,0.027,"Mr. Lutsenko took further steps to slow walk the Ukrainian cases related to the Mueller investigation in November and gave an official order to freeze them in April 2018.
One examined possible money laundering in a $750,000 payment to Mr. Manafort from a Ukr… [+1752 chars]"
-0.0258,0.076,0.85,0.074,"The Washington Post's David Ignatius raised a troubling possibility in a column last week: what if President Donald Trump's and Rudy Giuliani's apparent quid-pro-quo with Ukraine this year may not have been the first of its kind?
On Monday, Congress released… [+4948 chars]"
-0.2263,0.055,0.911,0.034,"Joaquin Phoenix's transformation into the Joker took just 15 minutes. 
According to his makeup artist Nicki Ledermann, the 44-year-old actor struggled to sit still when getting his face painted for the leading antihero ""Joker.""
""It took an average of 15-20 … [+2099 chars]"
-0.3089,0.055,0.945,0.0,Blockchain has been picking up the pace since its inception in the year 2009 by a pseudo group named as Santoshi Nakamoto. Nakamoto has released a whitepaper named as Bitcoin: A peer-to-peer electronic cash system which never clearly mentioned about Blockchai… [+9390 chars]
0.0,0.0,1.0,0.0,"Marie Yovanovitch, the US's former ambassador to Ukraine, laid out a trail of breadcrumbs for Congress to follow in her bombshell testimony last month as part of an impeachment inquiry into President Donald Trump.
Lawmakers released a partial transcript of h… [+5676 chars]"
0.0772,0.038,0.916,0.046,"October
24, 2019
4 min read
Opinions expressed by Entrepreneur contributors are their own.
McKinsey’s 2019 State of Fashion report identified “radical transparency” as a top trend in its industry, as consumers increasingly demand more information about su… [+4553 chars]"
-0.4767,0.069,0.931,0.0,"Say it with me: Bitcoin is not anonymous. 
Three hundred and thirty-seven alleged members of a massive dark web child pornography website were reminded of that fact last year when they were arrested by a global coalition of law enforcement. According to a De… [+2993 chars]"
0.0065,0.067,0.865,0.068,"As Blockchain technology and tokenization transform global financial markets, the companies driving this disruption are scattered around the globe, according to a new study.
While new innovative clusters in recent decades have tended to be concentrated in pl… [+3437 chars]"
0.1655,0.11,0.706,0.184,"If we want cleaner cars, every part of the supply chain needs to clean its act up, too.
Volvo
Electric vehicles promise zero tailpipe emissions, but there are dirtier factors that are easily forgotten. Batteries require rare-earth materials and, sometimes, … [+1994 chars]"
0.0,0.0,1.0,0.0,"Scott J. Applewhite/APMarie Yovanovitch, the US's former ambassador to Ukraine, laid out a trail of breadcrumbs for Congress to follow in her bombshell testimony last month as part of an impeachment inquiry into President Donald Trump.Lawmakers released a par… [+5575 chars]"
-0.6705,0.15,0.793,0.056,"Ray Jenkins, a Pulitzer Prize-winning journalist who worked as a special assistant for press affairs in President Jimmy Carter's administration, has died. He was 89.
Jenkins' son Mark Jenkins says his father died Thursday at his home in Baltimore from conges… [+548 chars]"
0.3818,0.0,0.938,0.062,"In conjunction with the 2nd Annual San Francisco Blockchain Week last week; PlayTable and ToyBox announced theyve entered into a strategic partnership focused on enabling blockchain for toys, souvenirs, and collectibles designed and printed on the Toybox 3D P… [+4985 chars]"
0.0,0.0,1.0,0.0,"Emmett Till's cousin, the Rev. Wheeler Parker, retells his account of how Till's kidnapping unfolded as the moon set over that early Delta morning over 60 years ago.
 Wochit
A new bulletproof memorial to slain civil rights icon Emmett Till was unveiled Satu… [+3531 chars]"
-0.7639,0.208,0.702,0.09,"Buying tickets for a Broadway show can involve an awful lot of unwelcome drama, so it’s not surprising that some of the theater industry’s biggest players are looking for ways to make ticket buying more secure. One possible solution to ticket fraud is blockch… [+1844 chars]"
0.4767,0.07,0.799,0.131,"My latest Locus Magazine column is Jeannette Ng Was Right: John W. Campbell Was a Fascist, which revisits Jeannette Ng's Campbell Awards speech from this summer's World Science Fiction convention.
As far as I know, I'm the only person to have won both awards… [+3545 chars]"
0.0,0.0,1.0,0.0,"There hasn't been much news from HTC about new phones this year, besides some budget models. The company did confirm earlier this year that it would develop a new version of its 'Exodus' blockchain phone, which was itself a slightly-modified U12+. That new de… [+1193 chars]"
