compound,negative,neutral,positive,text
0.6908,0.047,0.791,0.162,Best answer: It depends on how expensive your phone is or if you're prone to accidents. Visible Protect offers device replacements and repairs for a discounted rate on devices purchased directly from Visible. Rates range from $10-12 per month depending on the… [+4232 chars]
0.5574,0.0,0.894,0.106,"Shortly before her lease ended, she reached out to a friend from church, Stephanie Larsen, who is a real estate agent for Citi Habitats. I told her I really needed a doorman building nearby, said Ms. Osei-Osafo, who was willing to downsize from a one-bedroom … [+1316 chars]"
-0.7783,0.167,0.789,0.045,"CALAIS, France (Reuters) - Prime Minister Boris Johnson promised to take Britain out of the European Union “do or die” on Oct. 31, even if that meant risking chaos at the borders. 
He failed to deliver on his pledge, however, and on Thursday ferries at the n… [+3297 chars]"
0.8225,0.0,0.83,0.17,"Painstakingly laying out multi-colored plastic beads (also known as Perler beads) to create mosaic images can be a relaxing way to unwind. Its a long process, though, and if you dont have the patience for arts and crafts, you can always dedicate your free tim… [+1700 chars]"
-0.367,0.126,0.805,0.069,"House Democrats have threatened to subpoena the General Services Administration if the agency does not hand over records related to the approval of President Donald Trump’s Washington, D.C., hotel by next Wednesday.
The House Transportation and Infrastructur… [+2548 chars]"
0.4606,0.0,0.898,0.102,"Cars are not cheap.
Alas, I live in the car capital of the country, Los Angeles, and despite working mostly from home, I still need wheels.
I'm lucky to own my car outright, so I don't have to worry about a monthly lease or loan payment, but California's ga… [+3490 chars]"
0.5709,0.057,0.806,0.137,"San Francisco is losing one of its most valuable tech startups.
Stripe, the payment processing company valued at $35 billion, signed a lease Wednesday for a 421,000-square-foot headquarters in South San Francisco. The company will move more than 1,000 employ… [+6371 chars]"
0.9532,0.0,0.744,0.256,"Youre in the market for a new car or truck, but when is the best time to lease or make that big purchase? Does timing really make a difference? The simple answer is, yes, timing is important, and buying a new car or truck at the right time can save hundreds o… [+5586 chars]"
0.09,0.0,0.972,0.028,"Microsoft has upped its bid for console buyers attention by adding a future upgrade to Xbox All Access. Now, not only can you lease an Xbox One console from Amazon, but you also have the option to upgrade to the mysterious Project Scarlett console when it eve… [+2737 chars]"
0.7096,0.0,0.835,0.165,"WASHINGTON, D.C.Alarmed by several attempts in the past to
sell off valuable consular properties abroad, the Philippines is proposing to
craft a legislation for the creation, development, lease, maintenance and
proper disposition of overseas assets owned b… [+3275 chars]"
0.4019,0.0,0.943,0.057,"As Jalopniks resident car buying expert and professional car shopper, I get emails. Lots of emails. Ive decided to pick a few questions and try to help out. This week we are discussing off-lease luxury SUVs, the market for used Lexus sport sedans and at what … [+4747 chars]"
0.2235,0.0,0.953,0.047,"Image copyrightGetty ImagesImage caption
 Asian car markers lead the hydrogen car market
It's a question I couldn't avoid as I drove across central England in a borrowed car powered by a hydrogen fuel cell.
The Hyundai ix35 was fast, eerily quiet - they've… [+6970 chars]"
0.7845,0.0,0.832,0.168,"NEW YORK (AP) — WeWork is accepting a financial rescue package that hands control of the company to Japanese tech giant SoftBank and pushes aside co-founder Adam Neumann and his grandiose vision of changing the world through communal working.
WeWork said in … [+5275 chars]"
0.4763,0.046,0.848,0.106,"Youve probably seen the ads before$3,000 bonus cash on this model, 0% financing on that modelperhaps these ads even enticed you to drive over to your local dealer to check them out. If so, youre not alone. These attractive discounts are known in the industry … [+6975 chars]"
-0.5859,0.122,0.837,0.041,HONG KONG (Reuters) - Police fired tear gas and water cannon to break up rallies as activists blocked roads and trashed shopping malls across Hong Kong’s New Territories and Kowloon peninsula on Sunday during the 24th straight weekend of anti-government unres… [+4491 chars]
0.0,0.0,1.0,0.0,"My journey with home ownership has been complicated. Since my husband and I got married in 2011, we've purchased two homes: one in 2012, and another in 2017.
If we had just stayed in our 2012 home, made money on the sale, and purchased again in 2017, there p… [+5074 chars]"
0.0258,0.0,0.973,0.027,"November
11, 2019
2 min read
Opinions expressed by Entrepreneur contributors are their own.
In this interview at ClickFunnels’ annual Funnel Hacking Live conference, Emily Richett chats with Brian Page, founder of BNB Formula, about how he found quick suc… [+1903 chars]"
-0.5106,0.158,0.744,0.098,"Joe Kent is a retired US Army Special Forces chief warrant officer three, who spent more than 20 years in Special Operations and completed 11 combat deployments. He is also a Gold Star husband; his wife Senior Chief Petty Officer Shannon Kent was killed in 20… [+7054 chars]"
0.4785,0.075,0.809,0.117,"Third-generation farmer James Praskach has been burned by the oil and gas sector and watched wicked weather pound his crops flat, but he is hoping a new kind of energy the renewable kind will pay dividends.
The 39-year-old is part of a landowner consortium t… [+4355 chars]"
