compound,negative,neutral,positive,text
0.8402,0.044,0.76,0.196,"FroYo brand honors veterans with discount, says an actual email I got from a TCBY rep, because we live in an Infinite Jest-ass Futurama world, where the reward for risking your life on behalf of Americas imperialist oligarchs is a free 6-ounce cone of frozen … [+5063 chars]"
-0.3728,0.099,0.85,0.051,"Even though I dont much care for football, I do care for football snacks. During the rest of the week, a snack is a granola bar or a piece of fruiton football days, a snack is eight wings, 17 pigs in a blanket, a pint of dip, four pieces of party sub and a pl… [+3004 chars]"
0.3899,0.03,0.908,0.062,"That’s a tough one. Final Score: 3-1 Red Wings
After going 1-3-0 in the 11 days since these two teams last met, dare I say that tonight’s rematch was a must-win for the Edmonton Oilers? Would that be too bold? Am I tripping out? I don’t think so. While the t… [+8025 chars]"
0.4588,0.037,0.888,0.075,"Paul Rudd is an actor, writer, producer ... and now a hot sauce champion.
On the latest episode of First We Feast's Hot Ones, Rudd stopped by to chomp on some hot cauliflower vegan wings, ask Sean Evans a few questions, discuss Guy Fieri, and shed some light… [+477 chars]"
0.2767,0.061,0.856,0.083,"""Is it true that you almost missed your Game of Thrones audition because you didn't want to miss a class trip to the pig farm"" asked Hot Oneshost Sean Evans to this week's wing warrior, Maisie Williams.
""Yeah, that's true,"" she said. ""Just really wanted to g… [+577 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
0.0,0.0,1.0,0.0,"While there are some fixed-wing drones in the hobby world, most of us around here think of the quadcopter when this word is mentioned. There have been some fixed-wings around, and lots of multi-rotors, but not much of a mix of the two. [Pawe] wanted to see wh… [+1090 chars]"
0.3182,0.0,0.93,0.07,"Red Wings 1, Oilers 2
Edmonton Oilers got the job done on Friday night, barely. Or is that Bear-ly?
The Oil’s youngest player, rookie defenceman Ethan Bear, scored a key goal for the second straight game to put the home side ahead 2-0. That seemingly “safe”… [+10023 chars]"
0.1531,0.124,0.741,0.135,"DETROIT Saturdays were built for hockeys marquee stars, but every once in a while the supporting cast steals the spotlight.
For the Toronto Maple Leafs, this was certainly one of those nights.
In the giddy aftermath of their 5-2, three-game-skid-snuffing vi… [+6168 chars]"
0.5859,0.0,0.924,0.076,"Hey, look at us, rounding up these extremely soulful Paul Rudd memes from his appearance on the YouTube series Hot Ones. 
It was a lovely bonding moment between Rudd and host Sean Evens, and it has Twitter recalling some of their own bonding moments. Some ar… [+876 chars]"
-0.296,0.051,0.949,0.0,"Brushless motors and lithium batteries were a revolution for remote control aircraft. No longer would nitro engines rule the roost, as flying became far cheaper and more accessible almost overnight. The same technology has also found its way into power tools,… [+1201 chars]"
-0.4091,0.109,0.836,0.055,"Humans didn’t come with wings from the factory, and most efforts to fit them after the fact have been at least as far as flight is concerned, largely fruitless. That doesn’t mean you can’t cut a devastatingly sharp aesthetic though, and [Natalina’s] fiber opt… [+1060 chars]"
-0.34,0.052,0.948,0.0,"CALGARY — Mark Giordano had a goal and an assist to lead the Calgary Flames to a 5-1 victory over the Detroit Red Wings on Thursday.
 Giordano was instrumental on the opening goal, firing a shot from the blue line that was deflected in by Andrew Mangiapane. … [+2114 chars]"
-0.5319,0.081,0.919,0.0,"NASA’s next Venus probe could be an atmosphere-skimming robotic stingray designed by the University of Buffalo. UB’s CRASH Lab, which is the institution’s Crashworthinesss for Aerospace Structures and Hybrids laboratory, has been selected by NASA to get early… [+1029 chars]"
0.7579,0.0,0.86,0.14,"Emilia Clarke, the Mother of Dragons herself, recently celebrated her birthday on Saturday by sharing an eyebrow-raising photo with her two Game of Thrones paramours.  
Clark posted a photo of her and her dour nephew/lover Kit Harrington (Jon Snow), with a m… [+671 chars]"
-0.6124,0.14,0.86,0.0,"A Buffalo Wild Wings manager in Massachusetts died Thursday after being exposed to toxic fumes caused by a noxious combination of chemical cleaning products in the restaurant’s kitchen.
At least 13 others were hospitalized, officials say.
The manager was ru… [+2281 chars]"
0.4019,0.0,0.921,0.079,"For that matter, wearables will also likely continue its steady growth pattern, seeing as how the Apple Watch Series 5 had only just arrived when the quarter ended. Between that and the new AirPods Pro, this is another category that should continue being a wi… [+1774 chars]"
-0.3818,0.131,0.792,0.077,"A cancer patient on his way to his last chemotherapy treatment won $200,000 from a scratch-off lottery ticket.  
Ronnie Foster, a retiree in Pink Hill, North Carolina, stopped by a convenience store on his way to the hospital and bought a $1 scratch-off. He … [+983 chars]"
-0.6124,0.14,0.86,0.0,"A Buffalo Wild Wings manager in Massachusetts died Thursday after being exposed to toxic fumes caused by a noxious combination of chemical cleaning products in the restaurants kitchen.
At least 13 others were hospitalized, officials say.
The manager was rus… [+4131 chars]"
-0.8271,0.278,0.722,0.0,Some employees of a Buffalo Wild Wings in Naperville have been fired for an alleged incident of racism against a group of black customers.
