compound,negative,neutral,positive,text
0.1406,0.0,0.964,0.036,"The Stargate printers work well when you need to print large parts quickly, but for parts that require more precision, such as the rockets engine, Relativity uses the same commercially available metal 3D printers that other aerospace companies use. These prin… [+2632 chars]"
-0.4497,0.122,0.839,0.039,"At that point, the T-shirt vendor entered the salon and engaged in a violent struggle with the uniformed officers, said Rodney Harrison, the Police Departments chief of patrol. The officers shot the vendor with a stun gun, Chief Harrison said, but that did no… [+874 chars]"
-0.5255,0.084,0.89,0.026,"Taco Bell stealthily yanked heaps of beef following a report that a diner found metal in their Mexican-inspired fast-food cuisine, angering customers across the country. 
 The Yum! Brands restaurant chain announced on Monday it had recalled 2.3 million pound… [+1365 chars]"
-0.2023,0.067,0.861,0.072,"(CNN)More than 2 million pounds of poultry products have been recalled in eight states over fears of contamination with foreign matter such as metal, federal health officials said.
Arkansas-based Simmons Prepared Foods, Inc. recalled the items produced from … [+625 chars]"
0.4404,0.0,0.922,0.078,"Teachable Machine can also accept more than just images. You can train AI models based on sound and poses in addition to the usual image data (including photos, not just webcam images). Want to determine whether or not your music is metal enough? Now you can.… [+491 chars]"
0.0258,0.0,0.974,0.026,"Chara, the Bruins captain, will become the third player born outside of North America to reach the milestone, joining Jaromir Jagr (1,733 games) and Nicklas Lidstrom (1,564).
Boston, which is coming off a 6-4 victory against the Pittsburgh Penguins on Monday… [+3363 chars]"
0.6249,0.033,0.843,0.124,"While many audiophile equipment manufacturers may wax poetic about their componentry deserving attention for their aesthetics, the OMA Ironic speaker designed by David D’Imperio truly merits the label of a working piece of art.
Crafted with the same type of … [+1445 chars]"
-0.5994,0.089,0.911,0.0,"Everything you need to know about the year’s most anticipated game Hideo Kojima’s long-anticipated game, Death Stranding, is out the PlayStation 4 on November 8th. The star-studded action game utilizes actors such as Norman Reedus, Guillermo del Toro, Mads Mi… [+6048 chars]"
0.5106,0.072,0.761,0.168,"Controlled lighting and a special fabric mesh with a metallic filament woven into the fibers created a holo-projection effect, according to ESPN. The same technology helped to realize True Damage, a fictional band that features League of Legends characters Ak… [+3419 chars]"
0.0,0.0,1.0,0.0,"Enlarge/ An artist's concept of a spent upper stage of a rocket.
3 with 3 posters participating
In the 1960s, as it cast about for ideas about what to do after the Apollo Moon program, NASA considered re-using the spent upper stages of its large rockets as … [+2846 chars]"
0.5574,0.0,0.921,0.079,"When the folks at Bitmap Books offered to send me a copy of Metal Slug: The Ultimate History, I was picturing something much slimmer than the massive, 452-page tome I received. Who knew SNKs cartoonish run-and-gun shooter series had such a rich and colorful h… [+1034 chars]"
-0.3804,0.109,0.846,0.046,"The US Air Force Research Laboratory (AFRL) has developed a new form of liquid metal with very strange conductive properties. Usually, when a flexible, conductive material is stressed or stretched, its electrical conductivity drops and resistance increases wh… [+1340 chars]"
-0.8366,0.168,0.832,0.0,"Just four short years ago, we were warning you about Beats. Folks were tearing apart old sets of Solo headphones to find bad build quality and extra metal pieces that were seemingly there only to make the headphones a little heavier. Rude! As Beats released n… [+5715 chars]"
0.6486,0.0,0.89,0.11,"British engineering firm Geomiq is now accepting submissions from the public to be the literal face of a state of the art humanoid robot slated for production in exchange for $130,000, CNET reported on Tuesday.
Geomiq is asking for those interested to sent i… [+1792 chars]"
-0.296,0.084,0.857,0.059,"It took just two-and-a-half hours for the Titanic to sink after it collided with an iceberg in 1912.
Before the disaster, the ship was said to be ""unsinkable"" thanks to waterproof compartments below its deck. But the Titanic's engineers hadn't anticipated th… [+3915 chars]"
0.8094,0.071,0.733,0.196,"Media playback is not supported on this device
Andy Murray wins first ATP title since surgery
Andy Murray said he would reassess his goals after a ""surprise"" win at the European Open, and joked that he needed to get back on tour to stop his family growing t… [+1503 chars]"
0.4404,0.0,0.929,0.071,"Nanatsuji – Seven Ways is a minimalist apartment located in Tokyo, Japan, designed by Sasaki Architecture. The three-storey wood frame structure features matted metal siding accompanied by a lively cityscape that is bustling with shoppers by day and muted wit… [+682 chars]"
-0.2944,0.046,0.954,0.0,"If youve ever wished that your Nintendo Switch Joy-Con controllers had a little more color, you have two options: buy a new $80 set, selecting from the very limited batch of color options that Nintendo makes, or customize the ones that you already own. 
Im n… [+13149 chars]"
-0.7096,0.134,0.866,0.0,"To the Stars Academy of Arts and Sciences (TTSA)the UFO research organization founded by former Blink 182 star Tom DeLongehas struck a research deal with the U.S. Army filled with eye-popping references to exotic technologies.
TTSA, whose membership includes… [+8690 chars]"
0.6075,0.031,0.863,0.107,"Out of all the characters and monsters in Dragon Quest, there is no better one for a rug than Liquid Metal Slime.
See what I mean? The characters liquid-metal part is a bit larger than in Dragon Quest, but all works so well. As Famitsu reports, the rug went … [+62 chars]"
