compound,negative,neutral,positive,text
0.1154,0.0,0.967,0.033,"The Business Outlook Survey (BOS) indicator is a summary measure that captures common movements from the main BOS questions.2 A variant of the BOS indicator (Chart 1-A, black line) relies on the same BOS questions but at the regional level; thus, the number o… [+1496 chars]"
0.0258,0.0,0.974,0.026,"Chara, the Bruins captain, will become the third player born outside of North America to reach the milestone, joining Jaromir Jagr (1,733 games) and Nicklas Lidstrom (1,564).
Boston, which is coming off a 6-4 victory against the Pittsburgh Penguins on Monday… [+3363 chars]"
-0.6908,0.137,0.863,0.0,"Source: Intel
<ul><li>A patch released by Intel on Tuesday was purported to have fixed flaws in its processors.</li><li>Researchers at Vrije Universiteit Amsterdam claim that problems are still not solved.</li><li>The group also claims that Intel is abusing … [+4583 chars]"
0.7506,0.0,0.889,0.111,"We love running our event in New York, and given that it sold out a long way in advance we think that you do too. If you didn’t manage to get a ticket, this post should give you a feel for what happened. We also have the video of the presentations to share wi… [+5453 chars]"
0.4588,0.062,0.817,0.121,"If you have plans to fly to China soon or you’re making a mad dash for American Airlines elite status I have the perfect deal for you.
We’re seeing round-trip business-class tickets on American and Japan Airlines from cities like Los Angeles (LAX), San Diego… [+1875 chars]"
0.0,0.0,1.0,0.0,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
Transcontinental flights are currently available for $197 round-trip, non-stop from Newark (EWR) / Boston (BOS) to… [+2188 chars]"
0.0772,0.0,0.956,0.044,"An intense storm headed toward the Northeast has caused Delta to issue weather waivers for several airports, including:
<ul><li>Boston (BOS)</li><li>Hartford (BDL)</li><li>Manchester (MHT)</li><li>New York (JFK)</li><li>New York (LGA)</li><li>Newark (EWR)</l… [+1060 chars]"
0.4767,0.0,0.933,0.067,"Cape Air is the proud owner of two new Tecnam P2012 Travellers, the regional airlines first new aircraft in its 30-year history.
On this day in 1989, the Hyannis, Massachusetts-based carriers first flight took off from Provincetown (PVC) bound for Boston Log… [+5930 chars]"
0.0,0.0,1.0,0.0,"Cape Air has set a date for the debut of its first new aircraft, the Tecnam P2012 Traveller, with plans to introduce it on flights to Vermont in December.
The Hyannis, Massachusetts-based regional carrier will begin flying the prop plane between its Boston L… [+2131 chars]"
0.5719,0.0,0.926,0.074,"Catching an Uber at LAX with its new pickup process is trying, but thankfully that does not seem to be the case at Logan Airport (BOS) in Boston. Last week, Logan began phasing in a centralized drop-off and pickup system for all ride-sharing services, such as… [+4589 chars]"
0.3182,0.047,0.859,0.094,"Boston Logan International Airport is at the center of a transatlantic growth frenzy with new flights planned by American Airlines, Delta Air Lines and others poised to make it one of the largest European gateways on the East Coast.
Data compiled by OAG show… [+2563 chars]"
0.7345,0.0,0.86,0.14,"Want to see the latest flight deals as soon as theyre published? Follow The Points Guy on Facebook and Twitter, and subscribe to text message alerts from our deals feed, @tpg_alerts.
Well, this is one way to kick off a weekend! Delta just dropped award price… [+5454 chars]"
-0.6908,0.137,0.863,0.0,"Source: Intel
<ul><li>A patch released by Intel on Tuesday was purported to have fixed flaws in its processors.</li><li>Researchers at Vrije Universiteit Amsterdam claim that problems are still not solved.</li><li>The group also claims that Intel is abusing … [+5590 chars]"
-0.2732,0.049,0.951,0.0,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
Flights to Europe from various U.S. cities are available for as low as $236 round-trip.
If you’re trying to start… [+2166 chars]"
-0.2732,0.049,0.951,0.0,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
JetBlue is back with another flash sale with unreal deals starting as low as 2,700 TrueBlue points or $49 one-way.… [+2051 chars]"
-0.788,0.173,0.827,0.0,"For more TPG news and deals delivered each morning to your inbox, sign up for our daily newsletter here: https://thepointsguy.com/mailing-list/
Flights to Germany have dropped as low as $327 round-trip from various U.S. cities. Most shocking, the lowest fare… [+2403 chars]"
0.6249,0.0,0.911,0.089,"It’s been a great week for premium fares to Europe, with yesterday bringing first-class deals to London and other cities. Today, we’re seeing business class deals to Moscow and several European cities starting at $1,366 on carriers such as Alitalia and Britis… [+1970 chars]"
0.5859,0.0,0.902,0.098,"Want to see the latest flight deals as soon as theyre published? Follow The Points Guy on Facebook and Twitter, and subscribe to text message alerts from our deals feed, @tpg_alerts.
Delta just dropped award prices on domestic flights from Boston, New York a… [+4266 chars]"
-0.4215,0.057,0.943,0.0,"The 2019-20 fantasy hoops campaign officially tips off in eight days, which means we are in the stretch run of draft season.
Following up our previous mock drafts -- 10-team H2H categories, 10-team roto and 10-team H2H points -- we gathered our experts to dr… [+23062 chars]"
