compound,negative,neutral,positive,text
0.8519,0.034,0.789,0.177,ODONNELL Mayor Pete had his best debate last night. He finally went on offense and was one of the few who was actually able to get the better of Elizabeth Warren in their exchange on health care. His exchange with Beto over guns may have ended Betos candidacy… [+2672 chars]
0.9349,0.059,0.592,0.349,"POTTER Her success depends on getting multiple opportunities to deliver sharp, simple-to-understand critiques of President Trump. Harriss greatest success on the debate stage came from creating the impression she would badly outclass Trump in a general electi… [+2018 chars]"
0.34,0.0,0.954,0.046,"The UK's mobile operators have pledged to stump up half the cash for a £1bn ""Shared Rural Network"" (SRN) to tackle 4G notspots.
All four EE, Three, O2 and Vodafone have signed proposals to bring rural coverage to 95 per cent of the UK by 2025 via £530m in in… [+2694 chars]"
0.0,0.0,1.0,0.0,"Democratic presidential candidates, from left, Sen. Bernie Sanders, former Vice President Joe Biden, Sen. Elizabeth Warren and South Bend Mayor Pete Buttigieg during a Democratic presidential debate.
John Minchillo/AP
It's happening again.
Democrats are wr… [+9413 chars]"
-0.4019,0.066,0.934,0.0,"Some Democrats are putting up caution signs for Hillary Clinton as she wades back into presidential politics by casting 2020 candidate Tulsi Gabbard as a ""Russian asset,"" mocking President Donald Trump's dealings with a foreign leader and drawing counterattac… [+6387 chars]"
-0.296,0.051,0.949,0.0,"KENNEBUNK, MESpringing out of his characteristic ennui immediately upon hearing the knock at the restrooms door, local man Ethan Finney reportedly announced, Someones in here, Friday at Sunflower Café in the first real assertion of his own existence in months… [+694 chars]"
-0.4767,0.074,0.926,0.0,"Democratic presidential candidate Sen. Bernie Sanders at a campaign rally in Queensbridge Park in New York on Saturday.
Kena Betancur/Getty Images
About three weeks ago, Vermont Sen. Bernie Sanders had a heart attack that threw his campaign into question. B… [+7002 chars]"
-0.1027,0.113,0.823,0.064,"DALLAS -- Mavericks star Luka Doncic needed three stitches to repair a laceration on his head suffered in a collision late in a 119-110 overtime loss to the Los Angeles Lakers on Friday night, but the team's medical staff determined he did not have a concussi… [+3824 chars]"
0.6331,0.082,0.743,0.176,"Writing for the Telegraph, Mrs Morgan said: There are still too many areas of the country still waiting for very good mobile coverage. Solving this problem is one of my top priorities and I have challenged the mobile giants to come up with a solution. Only by… [+1422 chars]"
0.7184,0.0,0.87,0.13,"WEDNESDAY, Oct. 30, 2019 (HealthDay News) -- If you were good with words and puzzles at age 8, you're likely to fare well on tests of mental acuity at age 70, too.
That's among the findings of a new study that followed the thinking abilities of a group of Br… [+1985 chars]"
0.7906,0.043,0.765,0.192,"DALLAS -- Portland Trail Blazers coach Terry Stotts credited star guard Damian Lillard for convincing him to challenge a critical foul call late in the Trail Blazers' 121-119 win over the Mavericks, the most impactful use yet of the NBA's new rule that is bei… [+4900 chars]"
0.8622,0.0,0.824,0.176,"SAN FRANCISCO (KGO) -- How are you going to select your next credit card? Michael Finney, has a 7 On Your Side Quick Tip for you!If you go online, you're going to find some great deals for business credit cards. Nearly anyone can apply for a business card and… [+560 chars]"
-0.765,0.165,0.777,0.058,"When the time comes that I inevitably fall prey to a witch’s curse and am transported back in time to 1984, and am forced to scam my way into staying in the guest bedroom of some rich old WASPs while I try to figure out how to make it back to 2019, I ferventl… [+284 chars]"
0.7003,0.0,0.858,0.142,"Singer John Legend accepts the National Association of Broadcasters Leadership Foundation's 2019 ... [+] Service to America Leadership Award in Washington, DC.
Shannon Finney/Getty Images
In Washington D.C. on Thursday, Grammy-winning musician John Legend a… [+10509 chars]"
-0.4019,0.066,0.934,0.0,"Some Democrats are putting up caution signs for Hillary Clinton as she wades back into presidential politics by casting 2020 candidate Tulsi Gabbard as a ""Russian asset"", mocking President Donald Trump's dealings with a foreign leader and drawing counterattac… [+6317 chars]"
0.8074,0.0,0.821,0.179,"PITTSBURGH -- The Steelers' running back depth took a potentially significant hit Monday night when neither James Conner nor Benny Snell Jr. finished Monday night's win against the Dolphins.
That left just one healthy running back -- Trey Edmunds, a practice… [+2976 chars]"
0.5719,0.0,0.899,0.101,"Donald Trump Jr. had just started talking about his new book at UCLA on Sunday when someone in the audience began imitating actor Joaquin Phoenixs unsettlingly loud laughter from Joker. 
As the cackles filled the auditorium, Trump Jr. looked into the crowd, … [+7130 chars]"
-0.8316,0.184,0.816,0.0,"Lightning is one of the most unpredictable phenomena in nature. It regularly kills people and animals and sets fire to homes and forests. It keeps aircraft grounded and damages power lines, wind turbines and solar-panel installations. However, little is known… [+2881 chars]"
